,Unnamed: 0,TAG,Species,QUAD,Hectare,XCO,YCO,Year,DBH,Size Class,Size Class by Inch,Status,Age,Age Class,Density,AGB,Carbon,Basal Area,Dom,RFre,RDom,RDen,IV,Growth,Growth rate,Height,LifeSpan
69,123,2389B,GREWMI,4,1,71.6,6.5,2019,16.8,Understory,6-11,Alive,7,Young,6.0,"2,385.48",0.11,0.15,0.07,"1,200.00",7.44,600.00,"1,807.44",0.0,0.0,21.7,0
728,1390,3224,SARADE,36,2,98.0,148.0,2019,31.3,Canopy,12-17,Alive,53,Intermediate,36.5,"110,933.99",5.21,0.28,0.14,"7,300.00",13.87,"3,650.00","10,963.87",0.8,0.4,30.9,15
994,1872,3534A,PIMEGR,48,2,55.8,190.2,2019,21.6,Understory,6-11,Alive,35,Intermediate,10.5,"9,335.64",0.44,0.19,0.1,"2,100.00",9.57,"1,050.00","3,159.57",-0.1,-0.05,25.3,0
557,1049,3003B,SINDEC,28,2,48.6,115.2,2019,19.4,Understory,6-11,Alive,28,Intermediate,1.0,628.57,0.03,0.17,0.09,200.00,8.6,100.00,308.60,0.6,0.3,23.7,0
577,1093,3034A,SHORM1,29,2,39.6,108.5,2019,31.5,Canopy,12-17,Alive,28,Intermediate,21.0,"65,214.53",3.07,0.28,0.14,"4,200.00",13.96,"2,100.00","6,313.96",1.5,0.75,31.0,10
506,949,2943A,MEZZLE,26,2,89.2,108.8,2019,14.4,Understory,6-11,Alive,35,Intermediate,1.5,368.11,0.02,0.13,0.06,300.00,6.38,150.00,456.38,-0.1,-0.05,19.6,0
503,945,2941,DIPTC1,26,2,88.8,105.1,2019,37.5,Canopy,12-17,Alive,58,Intermediate,13.5,"76,021.93",3.57,0.33,0.17,"2,700.00",16.62,"1,350.00","4,066.62",-0.3,-0.15,33.6,6
89,167,2423,OCHAAM,5,1,95.6,17.4,2019,19.7,Understory,6-11,Alive,54,Intermediate,10.0,"6,603.25",0.31,0.17,0.09,"2,000.00",8.73,"1,000.00","3,008.73",0.2,0.1,23.9,0
474,904,2914,EUGEC1,25,1,94.1,86.2,2019,24.4,Understory,6-11,Alive,48,Intermediate,8.0,"10,595.08",0.5,0.22,0.11,"1,600.00",10.81,800.00,"2,410.81",1.4,0.7,27.1,0
280,569,2677D,SHORP1,15,1,97.2,44.2,2019,15.5,Understory,6-11,Alive,7,Young,12.0,"3,703.98",0.17,0.14,0.07,"2,400.00",6.87,"1,200.00","3,606.87",2.2,1.1,20.6,0
86,153,2410A,ALANEB,4,1,79.2,1.0,2019,12.6,Understory,1-5,Alive,7,Young,4.5,732.11,0.03,0.11,0.06,900.00,5.58,450.00,"1,355.58",-0.1,-0.05,17.8,5
270,552,2667A,MONOMA,15,1,97.0,52.0,2019,19.1,Understory,6-11,Alive,7,Young,15.0,"8,969.00",0.42,0.17,0.08,"3,000.00",8.46,"1,500.00","4,508.46",1.3,0.65,23.5,11
680,1296,3158,VATIBE,34,2,79.6,134.3,2019,18.2,Understory,6-11,Alive,52,Intermediate,5.5,"2,818.69",0.13,0.16,0.08,"1,100.00",8.06,550.00,"1,658.06",0.0,0.0,22.8,4
916,1745,3454,SARADE,45,2,95.6,178.4,2019,32.1,Canopy,12-17,Alive,59,Intermediate,36.5,"120,826.62",5.68,0.28,0.14,"7,300.00",14.22,"3,650.00","10,964.22",-2.6,-1.3,31.3,15
936,1782,3483,SARADE,46,2,91.9,180.0,2019,28.1,Understory,6-11,Alive,57,Intermediate,36.5,"77,205.79",3.63,0.25,0.12,"7,300.00",12.45,"3,650.00","10,962.45",0.1,0.05,29.3,15
134,273,2496A,EUGETU,7,1,71.8,27.4,2019,20.5,Understory,6-11,Alive,7,Young,1.0,750.67,0.04,0.18,0.09,200.00,9.08,100.00,309.08,1.6,0.8,24.5,8
122,237,2467,SANTLA,6,1,98.9,23.6,2019,40.4,Canopy,12-17,Alive,59,Intermediate,9.0,"65,571.93",3.08,0.36,0.18,"1,800.00",17.9,900.00,"2,717.90",1.9,0.95,34.8,4
925,1768,3473,SARADE,46,2,87.8,184.7,2019,19.1,Understory,6-11,Alive,54,Intermediate,36.5,"21,824.56",1.03,0.17,0.08,"7,300.00",8.46,"3,650.00","10,958.46",-0.1,-0.05,23.5,15
963,1828,3512,SHORL1,47,2,79.3,194.6,2019,64.2,Emergent,>24,Alive,60,Mature,9.0,"340,156.71",15.99,0.57,0.28,"1,800.00",28.45,900.00,"2,728.45",0.5,0.25,41.4,0
937,1784,3485,SARADE,46,2,95.2,188.4,2019,21.4,Understory,6-11,Alive,53,Intermediate,36.5,"31,487.27",1.48,0.19,0.09,"7,300.00",9.48,"3,650.00","10,959.48",-0.2,-0.1,25.2,15
902,1727,3439,SARADE,45,2,87.3,177.2,2019,23.5,Understory,6-11,Alive,62,Mature,36.5,"42,726.86",2.01,0.21,0.1,"7,300.00",10.41,"3,650.00","10,960.41",0.0,0.0,26.5,15
904,1730,3441,SARADE,45,2,89.6,178.1,2019,26.7,Understory,6-11,Alive,55,Intermediate,36.5,"65,115.92",3.06,0.24,0.12,"7,300.00",11.83,"3,650.00","10,961.83",0.8,0.4,28.5,15
714,1352,3191,IXONIC,35,2,96.9,128.0,2019,30.6,Canopy,12-17,Alive,53,Intermediate,10.5,"29,566.38",1.39,0.27,0.14,"2,100.00",13.56,"1,050.00","3,163.56",-2.6,-1.3,30.5,0
1,8,2324,KOOMMA,1,1,10.7,11.6,2019,99.3,Emergent,>24,Alive,71,Mature,4.5,"859,724",40.41,0.88,0.44,900.00,44.0,450.00,"1,394.00",0.3,0.15,46.7,7
923,1759,3465A,LEPISE,46,2,88.0,194.4,2019,13.1,Understory,1-5,Alive,7,Young,5.5,"1,008.02",0.05,0.12,0.06,"1,100.00",5.8,550.00,"1,655.80",-0.1,-0.05,18.3,0
623,1180,3088,DURIGR,31,2,17.7,121.5,2019,14.9,Understory,6-11,Alive,53,Intermediate,3.5,955.07,0.04,0.13,0.07,700.00,6.6,350.00,"1,056.60",-0.1,-0.05,20.0,0
563,1058,3007C,BEILP2,28,2,56.2,117.4,2019,11.3,Understory,1-5,Alive,7,Young,1.0,116.90,0.01,0.1,0.05,200.00,5.01,100.00,305.01,0.2,0.1,16.5,5
941,1788,3488,SARADE,46,2,99.5,185.9,2019,33.3,Canopy,12-17,Alive,56,Intermediate,36.5,"136,863.53",6.43,0.3,0.15,"7,300.00",14.76,"3,650.00","10,964.76",1.3,0.65,31.8,15
912,1741,3451,SARADE,45,2,92.8,175.9,2019,32.5,Canopy,12-17,Alive,59,Intermediate,36.5,"126,009.29",5.92,0.29,0.14,"7,300.00",14.4,"3,650.00","10,964.40",0.0,0.0,31.5,15
492,927,2932,INTSPA,25,1,91.4,93.7,2019,23.9,Understory,6-11,Alive,56,Intermediate,3.0,"3,711.73",0.17,0.21,0.11,600.00,10.59,300.00,910.59,-0.2,-0.1,26.8,0
665,1262,3133,CALOWA,33,2,54.8,137.1,2019,24.5,Understory,6-11,Alive,53,Intermediate,4.0,"5,369.35",0.25,0.22,0.11,800.00,10.86,400.00,"1,210.86",0.5,0.25,27.2,11
687,1307,3164,PEN1MO,34,2,70.3,127.6,2019,39.9,Canopy,12-17,Alive,53,Intermediate,4.0,"27,910.80",1.31,0.35,0.18,800.00,17.68,400.00,"1,217.68",1.3,0.65,34.6,0
11,29,2332,DIPTC1,1,1,19.7,10.6,2019,30.3,Canopy,12-17,Alive,56,Intermediate,13.5,"36,772.39",1.73,0.27,0.13,"2,700.00",13.43,"1,350.00","4,063.43",1.6,0.8,30.4,6
926,1769,3474,SARADE,46,2,88.5,184.6,2019,50.1,Canopy,18-23,Alive,64,Mature,36.5,"565,971.36",26.6,0.44,0.22,"7,300.00",22.2,"3,650.00","10,972.20",1.1,0.55,37.9,15
692,1312,3166,XANTST,34,2,73.1,124.4,2019,59.9,Canopy,>24,Alive,61,Mature,3.5,"102,889.13",4.84,0.53,0.27,700.00,26.54,350.00,"1,076.54",1.2,0.6,40.4,0
304,604,2699A,SHORAC,16,1,93.3,70.3,2019,24.9,Understory,6-11,Alive,40,Intermediate,8.5,"12,035.32",0.57,0.22,0.11,"1,700.00",11.03,850.00,"2,561.03",1.8,0.9,27.4,0
971,1840,3518B,ARTOSC,47,2,68.4,190.3,2019,21.0,Understory,6-11,Alive,7,Young,2.5,"2,028.74",0.1,0.19,0.09,500.00,9.31,250.00,759.31,-0.1,-0.05,24.9,0
494,931,2935,DIPTC1,25,1,97.6,94.5,2019,21.3,Understory,6-11,Alive,52,Intermediate,13.5,"11,470.40",0.54,0.19,0.09,"2,700.00",9.44,"1,350.00","4,059.44",0.8,0.4,25.1,6
54,103,2377A,BUCHSE,3,1,49.0,12.0,2019,18.5,Understory,6-11,Alive,28,Intermediate,6.5,"3,509.46",0.16,0.16,0.08,"1,300.00",8.2,650.00,"1,958.20",0.5,0.25,23.0,0
822,1594,3353,SHORP2,42,2,28.8,161.1,2019,37.2,Canopy,12-17,Alive,54,Intermediate,11.5,"62,992.87",2.96,0.33,0.16,"2,300.00",16.48,"1,150.00","3,466.48",1.5,0.75,33.5,0
489,924,2929,DIPTC1,25,1,90.5,95.1,2019,22.2,Understory,6-11,Alive,55,Intermediate,13.5,"13,121.66",0.62,0.2,0.1,"2,700.00",9.84,"1,350.00","4,059.84",0.1,0.05,25.7,6
294,590,2690,OCHAAM,16,1,85.1,71.7,2019,15.0,Understory,6-11,Alive,4,Young,10.0,"2,786.23",0.13,0.13,0.07,"2,000.00",6.65,"1,000.00","3,006.65",-0.1,-0.05,20.1,0
709,1345,3188,CYNOMA,35,2,93.4,135.5,2019,50.5,Canopy,18-23,Alive,58,Intermediate,5.0,"79,750.16",3.75,0.45,0.22,"1,000.00",22.38,500.00,"1,522.38",3.7,1.85,38.0,0
207,424,2590,PEN1MO,11,1,16.5,48.7,2019,67.2,Emergent,>24,Alive,68,Mature,4.0,"178,566.09",8.39,0.6,0.3,800.00,29.78,400.00,"1,229.78",0.4,0.2,42.0,0
903,1728,3439A,SARADE,45,2,86.8,176.0,2019,24.1,Understory,6-11,Alive,7,Young,36.5,"46,412.74",2.18,0.21,0.11,"7,300.00",10.68,"3,650.00","10,960.68",-0.2,-0.1,26.9,15
178,370,2554,GANUSN,10,1,19.8,38.7,2019,14.9,Understory,6-11,Alive,48,Intermediate,4.0,"1,091.51",0.05,0.13,0.07,800.00,6.6,400.00,"1,206.60",-0.1,-0.05,20.0,0
911,1740,3450A,SARADE,45,2,92.2,174.5,2019,17.2,Understory,6-11,Alive,7,Young,36.5,"15,632.49",0.73,0.15,0.08,"7,300.00",7.62,"3,650.00","10,957.62",0.6,0.3,22.0,15
20,42,2339A,ARCHDI,1,1,8.5,1.2,2019,18.7,Understory,6-11,Alive,35,Intermediate,0.5,279.39,0.01,0.17,0.08,100.00,8.29,50.00,158.29,0.2,0.1,23.2,0
910,1739,3450,SARADE,45,2,94.0,174.6,2019,48.2,Canopy,18-23,Alive,66,Mature,36.5,"493,548.57",23.2,0.43,0.21,"7,300.00",21.36,"3,650.00","10,971.36",0.1,0.05,37.4,15
673,1277,3145,DIOSSI,34,2,62.2,124.6,2019,17.2,Understory,6-11,Alive,54,Intermediate,1.5,642.43,0.03,0.15,0.08,300.00,7.62,150.00,457.62,0.4,0.2,22.0,0
856,1652,3392,OCHAAM,43,2,40.5,171.3,2019,24.8,Understory,6-11,Alive,55,Intermediate,10.0,"13,972.55",0.66,0.22,0.11,"2,000.00",10.99,"1,000.00","3,010.99",0.0,0.0,27.4,0
456,879,2895,MESURA,24,1,64.1,94.0,2019,21.7,Understory,6-11,Alive,54,Intermediate,8.0,"7,220.39",0.34,0.19,0.1,"1,600.00",9.62,800.00,"2,409.62",1.2,0.6,25.4,0
18,38,2337,DIPTC1,1,1,15.7,0.7,2019,34.1,Canopy,12-17,Alive,55,Intermediate,13.5,"54,884.60",2.58,0.3,0.15,"2,700.00",15.11,"1,350.00","4,065.11",1.3,0.65,32.2,6
100,183,2431,RYPAAC,5,1,93.7,4.3,2019,32.1,Canopy,12-17,Alive,56,Intermediate,2.0,"6,620.64",0.31,0.28,0.14,400.00,14.22,200.00,614.22,-0.3,-0.15,31.3,0
490,925,2930,CANALR,25,1,93.1,95.1,2019,61.7,Emergent,>24,Alive,67,Mature,4.0,"130,881.57",6.15,0.55,0.27,800.00,27.34,400.00,"1,227.34",0.0,0.0,40.8,0
705,1338,3184A,LITHCU,35,2,88.4,136.7,2019,61.4,Emergent,>24,Alive,40,Intermediate,5.5,"176,812.92",8.31,0.54,0.27,"1,100.00",27.21,550.00,"1,677.21",1.8,0.9,40.8,0
762,1469,3271A,MONOMA,38,2,42.7,154.0,2019,25.2,Understory,6-11,Alive,7,Young,15.0,"22,095.10",1.04,0.22,0.11,"3,000.00",11.17,"1,500.00","4,511.17",1.0,0.5,27.6,11
116,221,2454B,NEOBHE,6,1,93.0,36.6,2019,17.4,Understory,6-11,Alive,7,Young,5.0,"2,221.32",0.1,0.15,0.08,"1,000.00",7.71,500.00,"1,507.71",1.1,0.55,22.2,0
119,233,2465,SANTLA,6,1,93.6,29.9,2019,18.5,Understory,6-11,Alive,7,Young,9.0,"4,859.26",0.23,0.16,0.08,"1,800.00",8.2,900.00,"2,708.20",0.5,0.25,23.0,4
106,199,2441C,CROTLA,6,1,81.6,28.0,2019,12.5,Understory,1-5,Alive,4,Young,11.0,"1,746.59",0.08,0.11,0.06,"2,200.00",5.54,"1,100.00","3,305.54",0.7,0.35,17.7,5
483,915,2921,DRYPLO,25,1,80.7,91.6,2019,14.9,Understory,6-11,Alive,48,Intermediate,8.5,"2,319.45",0.11,0.13,0.07,"1,700.00",6.6,850.00,"2,556.60",-0.1,-0.05,20.0,0
743,1421,3246,SAR1GR,37,2,69.8,154.6,2019,97.1,Emergent,>24,Alive,72,Mature,5.0,"877,500.57",41.24,0.86,0.43,"1,000.00",43.03,500.00,"1,543.03",2.1,1.05,46.4,9
301,600,2698A,SHOROV,16,1,95.8,74.6,2019,39.8,Canopy,12-17,Alive,48,Intermediate,2.0,"13,834.53",0.65,0.35,0.18,400.00,17.64,200.00,617.64,1.5,0.75,34.5,0
537,1013,2982,ANI1LA,27,2,78.8,110.3,2019,33.6,Canopy,12-17,Alive,55,Intermediate,5.5,"21,262.58",1.0,0.3,0.15,"1,100.00",14.89,550.00,"1,664.89",1.0,0.5,32.0,0
713,1350,3190,HOMADI,35,2,97.8,131.7,2019,53.4,Canopy,18-23,Alive,68,Mature,0.5,"9,729.53",0.46,0.47,0.24,100.00,23.66,50.00,173.66,0.0,0.0,38.8,0
469,899,2911A,MEMEAM,25,1,85.2,83.0,2019,12.7,Understory,1-5,Alive,4,Young,3.0,500.01,0.02,0.11,0.06,600.00,5.63,300.00,905.63,0.0,0.0,17.9,0
5,23,2330B,ARTOIS,1,1,19.5,12.2,2019,14.6,Understory,6-11,Alive,7,Young,3.5,896.51,0.04,0.13,0.06,700.00,6.47,350.00,"1,056.47",0.4,0.2,19.7,6
931,1776,3480,SARADE,46,2,98.8,199.3,2019,12.4,Understory,1-5,Alive,40,Intermediate,36.5,"5,655.22",0.27,0.11,0.05,"7,300.00",5.49,"3,650.00","10,955.49",0.2,0.1,17.6,15
920,1752,3460B,RYPAKU,46,2,82.6,186.4,2019,20.0,Understory,6-11,Alive,7,Young,11.0,"7,625.48",0.36,0.18,0.09,"2,200.00",8.86,"1,100.00","3,308.86",3.7,1.85,24.2,0
529,996,2971,LEPISE,27,2,71.6,115.2,2019,30.3,Canopy,12-17,Alive,55,Intermediate,5.5,"14,981.34",0.7,0.27,0.13,"1,100.00",13.43,550.00,"1,663.43",1.0,0.5,30.4,0
715,1353,3192,SAR1GR,35,2,93.7,130.1,2019,38.4,Canopy,12-17,Alive,54,Intermediate,5.0,"30,556.24",1.44,0.34,0.17,"1,000.00",17.02,500.00,"1,517.02",1.0,0.5,34.0,9
252,520,2649A,RYPAKU,14,1,72.6,50.5,2019,16.4,Understory,6-11,Alive,35,Intermediate,11.0,"4,053.39",0.19,0.15,0.07,"2,200.00",7.27,"1,100.00","3,307.27",-0.3,-0.15,21.3,0
514,967,2955,DILLSU,26,2,99.3,115.4,2019,16.7,Understory,6-11,Alive,53,Intermediate,2.0,780.32,0.04,0.15,0.07,400.00,7.4,200.00,607.40,-0.1,-0.05,21.6,0
338,662,2743,MONOMA,18,1,54.0,71.4,2019,34.8,Canopy,12-17,Alive,58,Intermediate,15.0,"65,364.18",3.07,0.31,0.15,"3,000.00",15.42,"1,500.00","4,515.42",0.6,0.3,32.5,11
686,1305,3162,KNEMSC,34,2,75.7,129.7,2019,23.0,Understory,6-11,Alive,54,Intermediate,7.5,"8,182.63",0.38,0.2,0.1,"1,500.00",10.19,750.00,"2,260.19",-0.3,-0.15,26.2,0
97,180,2430,SHORP2,5,1,97.4,2.1,2019,43.6,Canopy,12-17,Alive,57,Intermediate,11.5,"109,281.65",5.14,0.39,0.19,"2,300.00",19.32,"1,150.00","3,469.32",1.3,0.65,35.9,0
516,971,2958,DIPTC1,26,2,95.5,111.5,2019,58.4,Canopy,18-23,Alive,60,Mature,13.5,"362,158.55",17.02,0.52,0.26,"2,700.00",25.88,"1,350.00","4,075.88",1.7,0.85,40.1,6
893,1711,3431B,ALANEB,44,2,74.1,169.0,2019,11.1,Understory,1-5,Alive,7,Young,4.5,498.51,0.02,0.1,0.05,900.00,4.92,450.00,"1,354.92",-0.2,-0.1,16.3,5
520,980,2963A,APORAU,26,2,92.3,103.5,2019,14.9,Understory,6-11,Alive,28,Intermediate,2.0,545.75,0.03,0.13,0.07,400.00,6.6,200.00,606.60,0.6,0.3,20.0,6
57,106,2378A,RYPAKU,3,1,56.2,17.0,2019,16.0,Understory,6-11,Alive,7,Young,11.0,"3,750.58",0.18,0.14,0.07,"2,200.00",7.09,"1,100.00","3,307.09",0.2,0.1,21.0,0
783,1508,3296,SCHOAC,39,2,22.4,153.2,2019,40.3,Canopy,12-17,Alive,60,Mature,2.0,"14,446.73",0.68,0.36,0.18,400.00,17.86,200.00,617.86,2.7,1.35,34.7,0
898,1721,3436A,CYNOMA,45,2,85.4,168.3,2019,14.8,Understory,6-11,Alive,48,Intermediate,5.0,"1,336.08",0.06,0.13,0.07,"1,000.00",6.56,500.00,"1,506.56",1.2,0.6,19.9,0
608,1151,3074,NEPHOP,31,2,8.8,129.2,2019,36.7,Canopy,12-17,Alive,53,Intermediate,1.0,"5,228.54",0.25,0.33,0.16,200.00,16.26,100.00,316.26,0.9,0.45,33.3,0
707,1340,3184C,CLE1SU,35,2,90.2,138.5,2019,12.1,Understory,1-5,Alive,7,Young,4.5,647.12,0.03,0.11,0.05,900.00,5.36,450.00,"1,355.36",0.1,0.05,17.3,0
603,1145,3071B,HOPEDR,31,2,5.1,125.2,2019,13.0,Understory,1-5,Alive,7,Young,3.5,626.56,0.03,0.12,0.06,700.00,5.76,350.00,"1,055.76",0.4,0.2,18.2,0
669,1269,3138,SAR1GR,33,2,53.8,128.6,2019,42.0,Canopy,12-17,Alive,60,Mature,5.0,"41,698.33",1.96,0.37,0.19,"1,000.00",18.61,500.00,"1,518.61",0.7,0.35,35.3,9
861,1663,3402A,SHORP2,43,2,52.4,177.0,2019,12.8,Understory,1-5,Alive,40,Intermediate,11.5,"1,963.23",0.09,0.11,0.06,"2,300.00",5.67,"1,150.00","3,455.67",0.0,0.0,18.0,0
877,1681,3415,PALAH2,44,2,69.6,163.2,2019,45.7,Canopy,18-23,Alive,55,Intermediate,1.5,"16,810.88",0.79,0.4,0.2,300.00,20.25,150.00,470.25,0.3,0.15,36.6,0
876,1680,3413A,PIMEGR,43,2,60.0,162.8,2019,21.2,Understory,6-11,Alive,4,Young,10.5,"8,786.36",0.41,0.19,0.09,"2,100.00",9.39,"1,050.00","3,159.39",0.7,0.35,25.0,0
117,223,2456,NEOBHE,6,1,81.7,39.0,2019,54.1,Canopy,18-23,Alive,60,Mature,5.0,"101,930.52",4.79,0.48,0.24,"1,000.00",23.97,500.00,"1,523.97",1.0,0.5,39.0,0
475,905,2914A,ELAEP3,25,1,93.5,85.0,2019,13.2,Understory,1-5,Alive,7,Young,0.5,93.80,0.0,0.12,0.06,100.00,5.85,50.00,155.85,1.0,0.5,18.4,0
291,586,2686,MESUFE,16,1,80.9,71.3,2019,37.0,Canopy,12-17,Alive,59,Intermediate,7.5,"40,327.27",1.9,0.33,0.16,"1,500.00",16.39,750.00,"2,266.39",0.3,0.15,33.4,0
95,176,2427,SHORP2,5,1,99.1,19.4,2019,47.0,Canopy,18-23,Alive,28,Intermediate,11.5,"142,260.14",6.69,0.42,0.21,"2,300.00",20.83,"1,150.00","3,470.83",1.3,0.65,37.0,0
955,1813,3504,ANI1LA,47,2,62.2,196.0,2019,13.1,Understory,1-5,Alive,48,Intermediate,5.5,"1,008.02",0.05,0.12,0.06,"1,100.00",5.8,550.00,"1,655.80",0.1,0.05,18.3,0
340,665,2745,SHORM2,18,1,57.3,73.0,2019,93.8,Emergent,>24,Alive,80,Mature,14.0,"2,156,047.26",101.33,0.83,0.42,"2,800.00",41.56,"1,400.00","4,241.56",0.5,0.25,46.0,0
718,1356,3195,HORSS2,35,2,97.3,123.6,2019,42.7,Canopy,12-17,Alive,57,Intermediate,2.5,"22,086.64",1.04,0.38,0.19,500.00,18.92,250.00,768.92,0.4,0.2,35.6,0
111,216,2453,PAR1OB,6,1,85.1,39.4,2019,26.5,Understory,6-11,Alive,54,Intermediate,1.5,"2,609.99",0.12,0.23,0.12,300.00,11.74,150.00,461.74,0.9,0.45,28.4,7
929,1773,3477,SARADE,46,2,94.9,196.7,2019,18.5,Understory,6-11,Alive,55,Intermediate,36.5,"19,706.99",0.93,0.16,0.08,"7,300.00",8.2,"3,650.00","10,958.20",1.2,0.6,23.0,15
286,580,2682D,PELLSA,16,1,80.5,60.5,2019,16.3,Understory,6-11,Alive,7,Young,0.5,180.73,0.01,0.14,0.07,100.00,7.22,50.00,157.22,0.1,0.05,21.2,9
629,1194,3094A,SHORM1,32,2,30.0,130.0,2019,18.1,Understory,6-11,Alive,35,Intermediate,21.0,"10,575.04",0.5,0.16,0.08,"4,200.00",8.02,"2,100.00","6,308.02",1.3,0.65,22.7,10
996,1874,3535,DACRCO,48,2,52.3,189.9,2019,38.3,Canopy,12-17,Alive,61,Mature,2.0,"12,112.95",0.57,0.34,0.17,400.00,16.97,200.00,616.97,0.1,0.05,34.0,5
479,910,2917,CALOTE,25,1,88.4,90.3,2019,25.3,Understory,6-11,Alive,48,Intermediate,3.0,"4,477.21",0.21,0.22,0.11,600.00,11.21,300.00,911.21,0.7,0.35,27.7,0
700,1332,3182A,XERONO,35,2,82.5,137.6,2019,23.3,Understory,6-11,Alive,48,Intermediate,10.5,"11,951.90",0.56,0.21,0.1,"2,100.00",10.32,"1,050.00","3,160.32",0.2,0.1,26.4,11
224,458,2614,MEL1AU,12,1,35.2,47.0,2019,28.4,Understory,6-11,Alive,57,Intermediate,0.5,"1,095.84",0.05,0.25,0.13,100.00,12.58,50.00,162.58,-0.4,-0.2,29.4,0
8,26,2331,ALANRI,1,1,19.0,11.2,2019,16.5,Understory,6-11,Alive,53,Intermediate,8.0,"3,004.91",0.14,0.15,0.07,"1,600.00",7.31,800.00,"2,407.31",-0.1,-0.05,21.4,9
298,596,2696,ELAENI,16,1,91.8,68.4,2019,28.3,Understory,6-11,Alive,48,Intermediate,1.5,"3,248.96",0.15,0.25,0.13,300.00,12.54,150.00,462.54,0.0,0.0,29.4,0
