TAG,Species,QUAD,Hectare,XCO,YCO,Year,DBH,Size Class,Status,Age,Age Class,SP,Frequency,rEQUENCY,No.of Individual of Species,Density,AGB,BGBC,AGBC,BGB,Carbon,Price of Carbon,Basal Area,Dom,RFre,RDom,RDen,IV,Growth,Growth rate,Height,Volume Growth,% Volume Growth,Harvest / Post-Felling,Damage,Lifespan,Species_V1,age_1
2325,SHORL1,1,1,3.9,10.8,2012.00,20.5,Understory,Alive,8,Young,AIDIWA,1,18,18,9,6756.07,"1,587.68","3,175.35","3,378.03",0.32,9.84,0.18,0.09,0.06,9.08,92.59,101.74,20.5,2.28,24.52,330.77,3.31,,50,0,Dipterocarp,18
2325A,APORPR,1,1,4,12.7,2012.00,11.3,Understory,Alive,5,Young,ALANEB,9,7,7,3.5,409.16,96.15,192.31,204.58,0.02,0.6,0.1,0.05,0.02,5.01,36.01,41.04,1.2,0.13,16.49,67.59,0.68,,0,0,NonDipterocarp,15
2325B,GREWMI,1,1,1.6,13.7,2012.00,22.4,Understory,Alive,9,Young,ALANRI,16,12,12,6,6004.81,"1,411.13","2,822.26","3,002.41",0.28,8.75,0.2,0.1,0.04,9.93,61.73,71.69,4.4,0.49,25.83,416.03,4.16,,50,0,NonDipterocarp,19
2325C,MACALO,1,1,3.6,10.6,2012.00,0,Dead,Dead,0,Dead,ALPHEL,7,34,34,17,0,0,0,0,0,0,0,0,0.11,0,174.9,175.01,0,0,0,0,0,,0,0,NonDipterocarp,0
2326,EUGEPE,1,1,2.3,11.3,2012.00,0,Dead,Dead,0,Dead,ALPHMA,11,1,1,0.5,0,0,0,0,0,0,0,0,0,0,5.14,5.15,0,0,0,0,0,,0,0,NonDipterocarp,0
2327,RYPAKU,1,1,2.4,18.2,2012.00,0,Dead,Dead,0,Dead,ANI1LA,11,22,22,11,0,0,0,0,0,0,0,0,0.07,0,113.17,113.24,0,0,0,0,0,,0,0,NonDipterocarp,0
2328,EUGEDE,1,1,8.3,15.9,2012.00,0,Dead,Dead,0,Dead,ANI2CO,2,7,7,3.5,0,0,0,0,0,0,0,0,0.02,0,36.01,36.03,0,0,0,0,0,,0,6,NonDipterocarp,0
2328A,AAAAAA,1,1,0,0,2012.00,0,Dead,Dead,0,Dead,ANTICO,3,12,12,6,0,0,0,0,0,0,0,0,0.04,0,61.73,61.77,0,0,0,0,0,,0,0,NonDipterocarp,0
2329,IXONIC,1,1,9.2,17.8,2012.00,40.2,Canopy,Alive,16,Young,APORAR,5,21,21,10.5,75194.25,"17,670.65","35,341.30","37,597.13",3.53,109.56,0.36,0.18,0.07,17.81,108.02,125.91,7,0.78,34.68,"1,799.26",17.99,,40,0,NonDipterocarp,26
2329A,APORPE,1,1,6.7,17.6,2012.00,13.9,Understory,Alive,6,Young,APORAU,4,5,5,2.5,549.93,129.23,258.47,274.97,0.03,0.8,0.12,0.06,0.02,6.16,25.72,31.9,2.4,0.27,19.1,118.44,1.18,,0,0,NonDipterocarp,16
2329B,APORPE,1,1,0,0,2012.00,0,Dead,Dead,0,Dead,APORBR,10,5,5,2.5,0,0,0,0,0,0,0,0,0.02,0,25.72,25.74,0,0,0,0,0,,0,0,NonDipterocarp,0
2330,GANUSN,1,1,17.9,12.4,2012.00,0,Dead,Dead,0,Dead,APORCO,1,8,8,4,0,0,0,0,0,0,0,0,0.03,0,41.15,41.18,0,0,0,0,0,,0,0,NonDipterocarp,0
2330A,XYLOM1,1,1,18,14.2,2012.00,27.2,Understory,Alive,11,Young,APORNE,1,3,3,1.5,2846.36,668.89,"1,337.79","1,423.18",0.13,4.15,0.24,0.12,0.01,12.05,15.43,27.49,9,1,28.76,682.91,6.83,,50,0,NonDipterocarp,21
2330B,ARTOIS,1,1,19.5,12.2,2012.00,0,Dead,Dead,0,Dead,APORNI,2,7,7,3.5,0,0,0,0,0,0,0,0,0.02,0,36.01,36.03,0,0,0,0,0,,0,6,NonDipterocarp,0
2330C,APORCO,1,1,19.1,12,2012.00,0,Dead,Dead,0,Dead,APORPE,5,1,1,0.5,0,0,0,0,0,0,0,0,0,0,5.14,5.15,0,0,0,0,0,,0,0,NonDipterocarp,0
2330D,SHORM1,1,1,18.2,12.8,2012.00,0,Dead,Dead,0,Dead,APORPR,7,42,42,21,0,0,0,0,0,0,0,0,0.14,0,216.05,216.19,0,0,0,0,0,,0,10,Dipterocarp,0
2331,ALANRI,1,1,19,11.2,2012.00,16.4,Understory,Alive,7,Young,APORSY,2,16,16,8,2947.92,692.76,"1,385.52","1,473.96",0.14,4.3,0.15,0.07,0.05,7.27,82.3,89.62,2.3,0.26,21.33,184.16,1.84,,50,9,NonDipterocarp,17
2331A,PORTAN,1,1,19.1,10.6,2012.00,0,Dead,Dead,0,Dead,ARCHBU,23,23,23,11.5,0,0,0,0,0,0,0,0,0.08,0,118.31,118.39,0,0,0,0,0,,0,0,NonDipterocarp,0
2331B,SHORP2,1,1,18.6,19,2012.00,0,Dead,Dead,0,Dead,ARCHCL,1,23,23,11.5,0,0,0,0,0,0,0,0,0.08,0,118.31,118.39,0,0,0,0,0,,0,0,Dipterocarp,0
2332,DIPTC1,1,1,19.7,10.6,2012.00,28.4,Understory,Alive,11,Young,ARCHCY,1,27,27,13.5,29587.67,"6,953.10","13,906.21","14,793.84",1.39,43.11,0.25,0.13,0.09,12.58,138.89,151.56,4.3,0.48,29.41,761.51,7.62,,50,6,Dipterocarp,21
2332A,MACALO,1,1,20,10.5,2012.00,0,Dead,Dead,0,Dead,ARCHDI,1,34,34,17,0,0,0,0,0,0,0,0,0.11,0,174.9,175.01,0,0,0,0,0,,0,0,NonDipterocarp,0
2333,LITHCU,1,1,17.5,4,2012.00,0,Dead,Dead,0,Dead,ARCHDU,1,11,11,5.5,0,0,0,0,0,0,0,0,0.04,0,56.58,56.62,0,0,0,0,0,,0,0,NonDipterocarp,0
2334,BUCHSE,1,1,15.4,6.1,2012.00,0,Dead,Dead,0,Dead,ARCHKU,1,13,13,6.5,0,0,0,0,0,0,0,0,0.04,0,66.87,66.92,0,0,0,0,0,,0,0,NonDipterocarp,0
2335,EUGEFL,1,1,14.3,6.4,2012.00,39.8,Canopy,Alive,16,Young,ARDICO,3,2,2,1,6917.27,"1,625.56","3,251.11","3,458.63",0.33,10.08,0.35,0.18,0.01,17.64,10.29,27.93,13.1,1.46,34.53,"1,756.02",17.56,,40,0,NonDipterocarp,25
2335A,XERONO,1,1,14.5,7.5,2012.00,0,Dead,Dead,0,Dead,ARDIPA,1,21,21,10.5,0,0,0,0,0,0,0,0,0.07,0,108.02,108.09,0,0,0,0,0,,0,11,NonDipterocarp,0
2335B,APORBR,1,1,16,8,2012.00,0,Dead,Dead,0,Dead,ARTODA,2,10,10,5,0,0,0,0,0,0,0,0,0.03,0,51.44,51.47,0,0,0,0,0,,0,0,NonDipterocarp,0
2335C,CROTLA,1,1,15.6,6.4,2012.00,0,Dead,Dead,0,Dead,ARTOFU,1,22,22,11,0,0,0,0,0,0,0,0,0.07,0,113.17,113.24,0,0,0,0,0,,0,5,NonDipterocarp,0
2336,PTYCCO,1,1,15.6,1.1,2012.00,15,Understory,Alive,6,Young,ARTOIS,7,14,14,7,1950.36,458.34,916.67,975.18,0.09,2.84,0.13,0.07,0.05,6.65,72.02,78.71,0.3,0.03,20.11,145.24,1.45,,50,0,NonDipterocarp,16
2337,DIPTC1,1,1,15.7,0.7,2012.00,31.1,Canopy,Alive,12,Young,ARTOKE,2,27,27,13.5,40151.21,"9,435.53","18,871.07","20,075.60",1.89,58.5,0.28,0.14,0.09,13.78,138.89,152.76,6.8,0.76,30.8,956.17,9.56,,40,6,Dipterocarp,22
2337A,DIOSNU,1,1,16.2,0.5,2012.00,0,Dead,Dead,0,Dead,ARTOLO,4,1,1,0.5,0,0,0,0,0,0,0,0,0,0,5.14,5.15,0,0,0,0,0,,0,0,NonDipterocarp,0
2338,KNEMMA,1,1,14.6,0,2012.00,26.5,Understory,Alive,11,Young,ARTORI,3,11,11,5.5,9569.95,"2,248.94","4,497.88","4,784.98",0.45,13.94,0.23,0.12,0.04,11.74,56.58,68.36,5.8,0.64,28.36,639.29,6.39,,50,6,NonDipterocarp,21
2339,KOOMMA,1,1,10.4,0.2,2012.00,0,Dead,Dead,0,Dead,ARTOSC,5,9,9,4.5,0,0,0,0,0,0,0,0,0.03,0,46.3,46.33,0,0,0,0,0,,0,7,NonDipterocarp,0
2339A,ARCHDI,1,1,8.5,1.2,2012.00,17.9,Understory,Alive,7,Young,ATUNEX,3,1,1,0.5,243.04,57.11,114.23,121.52,0.01,0.35,0.16,0.08,0,7.93,5.14,13.08,2.6,0.29,22.56,232.03,2.32,,50,0,NonDipterocarp,17
2339B,XYLOM2,1,1,8.8,1.4,2012.00,14.2,Understory,Alive,6,Young,ATUNPE,1,6,6,3,704.99,165.67,331.34,352.49,0.03,1.03,0.13,0.06,0.02,6.29,30.86,37.18,1.8,0.2,19.38,125.43,1.25,,0,0,NonDipterocarp,16
2343,MANGQU,2,1,31.1,2.5,2012.00,0,Dead,Dead,0,Dead,BACCHO,1,14,14,7,0,0,0,0,0,0,0,0,0.05,0,72.02,72.06,0,0,0,0,0,,0,0,NonDipterocarp,0
2340,OCHAAM,2,1,22.8,1.3,2012.00,0,Dead,Dead,0,Dead,BACCKU,2,20,20,10,0,0,0,0,0,0,0,0,0.07,0,102.88,102.95,0,0,0,0,0,,0,0,NonDipterocarp,0
2340A,AAAAAA,2,1,0,0,2012.00,0,Dead,Dead,0,Dead,BACCMI,2,12,12,6,0,0,0,0,0,0,0,0,0.04,0,61.73,61.77,0,0,0,0,0,,0,0,NonDipterocarp,0
2341,EUGECL,2,1,27.8,3.8,2012.00,31.9,Canopy,Alive,13,Young,BACCPA,2,8,8,4,12963.83,"3,046.50","6,093.00","6,481.92",0.61,18.89,0.28,0.14,0.03,14.13,41.15,55.31,27.1,3.01,31.18,"1,018.64",10.19,,40,0,NonDipterocarp,23
2342,SHORM1,2,1,32.3,2.8,2012.00,60.6,Emergent,Alive,24,Intermediate,BACCPY,3,42,42,21,643811.13,"151,295.62","302,591.23","321,905.57",30.26,938.03,0.54,0.27,0.14,26.85,216.05,243.04,7.7,0.86,40.58,"4,783.37",47.83,,20,10,Dipterocarp,33
2343A,SANTAP,2,1,31,1.2,2012.00,0,Dead,Dead,0,Dead,BACCRA,6,4,4,2,0,0,0,0,0,0,0,0,0.01,0,20.58,20.59,0,0,0,0,0,,0,0,NonDipterocarp,0
2343B,HORSCR,2,1,28.5,1,2012.00,0,Dead,Dead,0,Dead,BACCRE,10,1,1,0.5,0,0,0,0,0,0,0,0,0,0,5.14,5.15,0,0,0,0,0,,0,0,NonDipterocarp,0
2344,CALODI,2,1,32.5,4.3,2012.00,0,Dead,Dead,0,Dead,BACCSU,1,20,20,10,0,0,0,0,0,0,0,0,0.07,0,102.88,102.95,0,0,0,0,0,,0,5,NonDipterocarp,0
2345,DACRR1,2,1,33.5,0.4,2012.00,12.3,Understory,Alive,5,Young,BARRPE,7,44,44,22,3325.55,781.5,"1,563.01","1,662.77",0.16,4.85,0.11,0.05,0.15,5.45,226.34,231.93,1,0.11,17.53,85.13,0.85,,0,0,NonDipterocarp,15
2346,CLE1SU,2,1,33.7,2,2012.00,16.2,Understory,Alive,6,Young,BEILDI,10,9,9,4.5,1595.4,374.92,749.84,797.7,0.07,2.32,0.14,0.07,0.03,7.18,46.3,53.5,3.5,0.39,21.16,178.26,1.78,,50,0,NonDipterocarp,17
2347,IXONIC,2,1,28.4,7.7,2012.00,0,Dead,Dead,0,Dead,BEILKU,1,21,21,10.5,0,0,0,0,0,0,0,0,0.07,0,108.02,108.09,0,0,0,0,0,,0,0,NonDipterocarp,0
2348,DACRR1,2,1,29.7,8.9,2012.00,14.6,Understory,Alive,6,Young,BEILL1,1,44,44,22,5635.2,"1,324.27","2,648.54","2,817.60",0.26,8.21,0.13,0.06,0.15,6.47,226.34,232.95,3,0.33,19.75,135.12,1.35,,0,0,NonDipterocarp,16
2349,DACRR1,2,1,22.5,6.6,2012.00,17.1,Understory,Alive,7,Young,BEILM2,3,44,44,22,9250.03,"2,173.76","4,347.52","4,625.02",0.43,13.48,0.15,0.08,0.15,7.58,226.34,234.06,1.3,0.14,21.91,205.69,2.06,,50,0,NonDipterocarp,17
2349A,DACRR1,2,1,23.1,6.7,2012.00,11.5,Understory,Alive,5,Young,BEILP2,2,44,44,22,2711.76,637.26,"1,274.53","1,355.88",0.13,3.95,0.1,0.05,0.15,5.1,226.34,231.58,2.52,0.28,16.7,70.91,0.71,,0,0,NonDipterocarp,15
2349B,APORBR,2,1,24.1,7.1,2012.00,0,Dead,Dead,0,Dead,BHESPA,2,10,10,5,0,0,0,0,0,0,0,0,0.03,0,51.44,51.47,0,0,0,0,0,,0,0,NonDipterocarp,0
2349C,SHORP1,2,1,23.5,7,2012.00,0,Dead,Dead,0,Dead,BLUMTO,2,24,24,12,0,0,0,0,0,0,0,0,0.08,0,123.46,123.54,0,0,0,0,0,,0,0,Dipterocarp,0
2350,ARTOIS,2,1,21.1,8.6,2012.00,34.6,Canopy,Alive,14,Young,BOUEMA,4,7,7,3.5,14954.2,"3,514.24","7,028.48","7,477.10",0.7,21.79,0.31,0.15,0.02,15.33,36.01,51.36,2.8,0.31,32.42,"1,245.90",12.46,,40,6,NonDipterocarp,24
2350A,NEPHOP,2,1,21.4,6.2,2012.00,0,Dead,Dead,0,Dead,BOUEOP,2,2,2,1,0,0,0,0,0,0,0,0,0.01,0,10.29,10.29,0,0,0,0,0,,0,0,NonDipterocarp,0
2351A,AAAAAA,2,1,0,0,2012.00,0,Dead,Dead,0,Dead,BRACHO,1,12,12,6,0,0,0,0,0,0,0,0,0.04,0,61.73,61.77,0,0,0,0,0,,0,0,NonDipterocarp,0
2352,NEOSKI,2,1,29.3,16.5,2012.00,0,Dead,Dead,0,Dead,BUCHAR,1,13,13,6.5,0,0,0,0,0,0,0,0,0.04,0,66.87,66.92,0,0,0,0,0,,0,0,NonDipterocarp,0
2353,POL1HY,2,1,30.8,15.3,2012.00,0,Dead,Dead,0,Dead,BUCHSE,13,6,6,3,0,0,0,0,0,0,0,0,0.02,0,30.86,30.88,0,0,0,0,0,,0,0,NonDipterocarp,0
2354,HERISI,2,1,32.1,17.4,2012.00,11.4,Understory,Alive,5,Young,CALODE,1,4,4,2,240.11,56.42,112.85,120.05,0.01,0.35,0.1,0.05,0.01,5.05,20.58,25.64,0.1,0.01,16.6,69.24,0.69,,0,0,NonDipterocarp,15
2355,CHISTO,2,1,34,19.5,2012.00,13.2,Understory,Alive,5,Young,CALODI,20,3,3,1.5,281.41,66.13,132.26,140.7,0.01,0.41,0.12,0.06,0.01,5.85,15.43,21.29,1.4,0.16,18.43,103.06,1.03,,0,0,NonDipterocarp,16
2355A,DIPTC1,2,1,33.2,19,2012.00,0,Dead,Dead,0,Dead,CALOMA,2,27,27,13.5,0,0,0,0,0,0,0,0,0.09,0,138.89,138.98,0,0,0,0,0,,0,6,Dipterocarp,0
2356,DIPTC1,2,1,36.8,19.3,2012.00,0,Dead,Dead,0,Dead,CALORU,1,27,27,13.5,0,0,0,0,0,0,0,0,0.09,0,138.89,138.98,0,0,0,0,0,,0,6,Dipterocarp,0
2357,MACALO,2,1,39.4,17.2,2012.00,0,Dead,Dead,0,Dead,CALOSO,1,34,34,17,0,0,0,0,0,0,0,0,0.11,0,174.9,175.01,0,0,0,0,0,,0,0,NonDipterocarp,0
2358,CALODI,2,1,39.6,15,2012.00,0,Dead,Dead,0,Dead,CALOTE,6,20,20,10,0,0,0,0,0,0,0,0,0.07,0,102.88,102.95,0,0,0,0,0,,0,5,NonDipterocarp,0
2359,EUGERI,2,1,37.8,12.8,2012.00,27.3,Understory,Alive,11,Young,CALOWA,8,9,9,4.5,8644.09,"2,031.36","4,062.72","4,322.04",0.41,12.59,0.24,0.12,0.03,12.1,46.3,58.42,3.8,0.42,28.81,689.28,6.89,,50,0,NonDipterocarp,21
2360,GARCRO,2,1,37.1,13.5,2012.00,0,Dead,Dead,0,Dead,CANAAP,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,5.14,5.15,0,0,0,0,0,,0,0,NonDipterocarp,0
2361,POMEPA,2,1,37.4,8.1,2012.00,58.9,Canopy,Alive,24,Intermediate,CANALL,2,6,6,3,82991.36,"19,502.97","39,005.94","41,495.68",3.9,120.92,0.52,0.26,0.02,26.1,30.86,56.98,14.6,1.62,40.19,"4,475.52",44.76,,30,0,NonDipterocarp,32
2361A,PIMEGR,2,1,38.2,9.6,2012.00,0,Dead,Dead,0,Dead,CANALR,8,21,21,10.5,0,0,0,0,0,0,0,0,0.07,0,108.02,108.09,0,0,0,0,0,,0,0,NonDipterocarp,0
2362,DACRR1,2,1,36,7.3,2012.00,18.2,Understory,Alive,7,Young,CANALT,2,44,44,22,11274.74,"2,649.56","5,299.13","5,637.37",0.53,16.43,0.16,0.08,0.15,8.06,226.34,234.55,2.7,0.3,22.8,242.39,2.42,,50,0,NonDipterocarp,17
2362A,ANI2CO,2,1,37.1,10.2,2012.00,0,Dead,Dead,0,Dead,CANAME,1,2,2,1,0,0,0,0,0,0,0,0,0.01,0,10.29,10.29,0,0,0,0,0,,0,0,NonDipterocarp,0
2362B,SANTLA,2,1,35.3,9.8,2012.00,0,Dead,Dead,0,Dead,CANAP2,1,18,18,9,0,0,0,0,0,0,0,0,0.06,0,92.59,92.65,0,0,0,0,0,,0,4,NonDipterocarp,0
2363,ACROPO,2,1,36.1,4.7,2012.00,0,Dead,Dead,0,Dead,CANAPA,6,5,5,2.5,0,0,0,0,0,0,0,0,0.02,0,25.72,25.74,0,0,0,0,0,,0,0,NonDipterocarp,0
2364,GLUTEL,2,1,39.9,2.7,2012.00,0,Dead,Dead,0,Dead,CANTDI,14,1,1,0.5,0,0,0,0,0,0,0,0,0,0,5.14,5.15,0,0,0,0,0,,0,17,NonDipterocarp,0
2365,DACRRO,2,1,39.5,1.7,2012.00,0,Dead,Dead,0,Dead,CARABR,3,9,9,4.5,0,0,0,0,0,0,0,0,0.03,0,46.3,46.33,0,0,0,0,0,,0,7,NonDipterocarp,0
2366,CRY1GR,3,1,42.3,2.2,2012.00,0,Dead,Dead,0,Dead,CASTME,5,6,6,3,0,0,0,0,0,0,0,0,0.02,0,30.86,30.88,0,0,0,0,0,,0,5,NonDipterocarp,0
2367,CLE1SU,3,1,45,2.7,2012.00,23.2,Understory,Alive,9,Young,CASTSC,1,9,9,4.5,5050.62,"1,186.90","2,373.79","2,525.31",0.24,7.36,0.21,0.1,0.03,10.28,46.3,56.61,1.8,0.2,26.35,455.33,4.55,,50,0,NonDipterocarp,19
2367A,ADENBI,3,1,46.9,6.1,2012.00,0,Dead,Dead,0,Dead,CHISER,2,3,3,1.5,0,0,0,0,0,0,0,0,0.01,0,15.43,15.44,0,0,0,0,0,,0,5,NonDipterocarp,0
2367B,APORPR,3,1,0,0,2012.00,0,Dead,Dead,0,Dead,CHISTO,3,7,7,3.5,0,0,0,0,0,0,0,0,0.02,0,36.01,36.03,0,0,0,0,0,,0,0,NonDipterocarp,0
2367C,CYNOMA,3,1,42.5,4.2,2012.00,0,Dead,Dead,0,Dead,CHRYLA,1,10,10,5,0,0,0,0,0,0,0,0,0.03,0,51.44,51.47,0,0,0,0,0,,0,0,NonDipterocarp,0
2367D,DIPLMA,3,1,41.4,7,2012.00,0,Dead,Dead,0,Dead,CINNIN,2,11,11,5.5,0,0,0,0,0,0,0,0,0.04,0,56.58,56.62,0,0,0,0,0,,0,0,NonDipterocarp,0
2367F,EUGETU,3,1,46.2,7.2,2012.00,0,Dead,Dead,0,Dead,CLE1SU,9,2,2,1,0,0,0,0,0,0,0,0,0.01,0,10.29,10.29,0,0,0,0,0,,0,8,NonDipterocarp,0
2368,MACALO,3,1,42.4,12.8,2012.00,0,Dead,Dead,0,Dead,CROTAR,16,34,34,17,0,0,0,0,0,0,0,0,0.11,0,174.9,175.01,0,0,0,0,0,,0,0,NonDipterocarp,0
2369,MANGQU,3,1,43.2,12.9,2012.00,15.6,Understory,Alive,6,Young,CROTER,1,14,14,7,2204.59,518.08,"1,036.16","1,102.29",0.1,3.21,0.14,0.07,0.05,6.91,72.02,78.98,1.3,0.14,20.64,161.25,1.61,,50,0,NonDipterocarp,16
2369A,CLE1SU,3,1,0,0,2012.00,11.3,Understory,Alive,5,Young,CROTLA,22,9,9,4.5,526.07,123.63,247.25,263.03,0.02,0.77,0.1,0.05,0.03,5.01,46.3,51.33,1.8,0.2,16.49,67.59,0.68,,0,0,NonDipterocarp,15
2369B,DIALPL,3,1,44.7,11.4,2012.00,22.7,Understory,Alive,9,Young,CRY1CA,1,2,2,1,1045.2,245.62,491.24,522.6,0.05,1.52,0.2,0.1,0.01,10.06,10.29,20.35,5.5,0.61,26.03,430.53,4.31,,50,0,NonDipterocarp,19
2370,GANUSN,3,1,40.4,13.4,2012.00,13.3,Understory,Alive,5,Young,CRY1GR,6,8,8,4,768.02,180.49,360.97,384.01,0.04,1.12,0.12,0.06,0.03,5.89,41.15,47.07,13.3,1.48,18.52,105.18,1.05,,0,0,NonDipterocarp,16
2371,CALODI,3,1,42,14.8,2012.00,0,Dead,Dead,0,Dead,CRY1IN,1,20,20,10,0,0,0,0,0,0,0,0,0.07,0,102.88,102.95,0,0,0,0,0,,0,5,NonDipterocarp,0
2372,DACRR1,3,1,42.8,17.2,2012.00,0,Dead,Dead,0,Dead,CRY1RU,1,44,44,22,0,0,0,0,0,0,0,0,0.15,0,226.34,226.48,0,0,0,0,0,,0,0,NonDipterocarp,0
2373,SHORP1,3,1,44.4,18.3,2012.00,0,Dead,Dead,0,Dead,CYATRA,7,24,24,12,0,0,0,0,0,0,0,0,0.08,0,123.46,123.54,0,0,0,0,0,,0,0,Dipterocarp,0
2374,EUGEC1,3,1,45,16.9,2012.00,0,Dead,Dead,0,Dead,CYNOMA,10,16,16,8,0,0,0,0,0,0,0,0,0.05,0,82.3,82.36,0,0,0,0,0,,0,0,NonDipterocarp,0
2375,CLE1SU,3,1,48,15,2012.00,11.4,Understory,Alive,5,Young,DACRCO,4,9,9,4.5,540.24,126.96,253.91,270.12,0.03,0.79,0.1,0.05,0.03,5.05,46.3,51.38,1.2,0.13,16.6,69.24,0.69,,0,0,NonDipterocarp,15
2375A,MYRICI,3,1,49.5,15.8,2012.00,0,Dead,Dead,0,Dead,DACRLA,5,2,2,1,0,0,0,0,0,0,0,0,0.01,0,10.29,10.29,0,0,0,0,0,,0,0,NonDipterocarp,0
2375B,GARCNE,3,1,47.3,15.8,2012.00,0,Dead,Dead,0,Dead,DACRR1,44,1,1,0.5,0,0,0,0,0,0,0,0,0,0,5.14,5.15,0,0,0,0,0,,0,6,NonDipterocarp,0
2376,IXONIC,3,1,48.9,13.7,2012.00,37.3,Canopy,Alive,15,Young,DACRR2,4,21,21,10.5,58049.21,"13,641.56","27,283.13","29,024.61",2.73,84.58,0.33,0.17,0.07,16.53,108.02,124.62,6,0.67,33.56,"1,498.76",14.99,,40,0,NonDipterocarp,25
2376A,EUGEIN,3,1,52.3,11.4,2012.00,16.8,Understory,Alive,7,Young,DACRRI,1,1,1,0.5,198.79,46.72,93.43,99.4,0.01,0.29,0.15,0.07,0,7.44,5.14,12.59,0,0,21.67,196.29,1.96,,50,0,NonDipterocarp,17
2377,OCHAAM,3,1,48.7,11.8,2012.00,17.9,Understory,Alive,7,Young,DACRRO,9,20,20,10,4860.79,"1,142.29","2,284.57","2,430.40",0.23,7.08,0.16,0.08,0.07,7.93,102.88,110.88,2.7,0.3,22.56,232.03,2.32,,50,0,NonDipterocarp,17
2377A,BUCHSE,3,1,49,12,2012.00,17,Understory,Alive,7,Young,DIALPA,1,13,13,6.5,2682.74,630.44,"1,260.89","1,341.37",0.13,3.91,0.15,0.08,0.04,7.53,66.87,74.45,3.3,0.37,21.83,202.53,2.03,,50,0,NonDipterocarp,17
2377B,GREWMI,3,1,48,12,2012.00,0,Dead,Dead,0,Dead,DIALPL,2,12,12,6,0,0,0,0,0,0,0,0,0.04,0,61.73,61.77,0,0,0,0,0,,0,0,NonDipterocarp,0
2378,SAR1GR,3,1,55.6,16.1,2012.00,111.9,Emergent,Alive,45,Intermediate,DIALPR,1,10,10,5,1506678.15,"354,069.37","708,138.73","753,339.07",70.81,"2,195.23",0.99,0.5,0.03,49.58,51.44,101.06,15,1.67,47.93,"19,267.05",192.67,,20,9,NonDipterocarp,52
2378A,RYPAKU,3,1,56.2,17,2012.00,0,Dead,Dead,0,Dead,DIALWA,3,22,22,11,0,0,0,0,0,0,0,0,0.07,0,113.17,113.24,0,0,0,0,0,,0,0,NonDipterocarp,0
2378B,PAYELU,3,1,56.6,16.5,2012.00,0,Dead,Dead,0,Dead,DILLSU,4,12,12,6,0,0,0,0,0,0,0,0,0.04,0,61.73,61.77,0,0,0,0,0,,0,8,NonDipterocarp,0
