TAG,Species,QUAD,Hectare,XCO,YCO,Year,DBH,Size Class,Size Class by Inch,Status,Age,Age Class,Density,AGB,Carbon,Basal Area,Dom,RFre,RDom,RDen,IV,Growth,Growth rate,Height,LifeSpan
2325,SHORL1,1,1,3.9,10.8,2015,22.9,Understory,6-11,Alive,12,Young,9.00,"9,680.27",0.45,0.20,0.10,"1,800.00",10.15,900.00,"2,710.15",2.40,1.20,26.2,0
2325A,APORPR,1,1,4.0,12.7,2015,0.0,Dead,0,Dead,0,,3.50,0.00,0.00,0.00,0.00,700.00,0.00,350.00,"1,050.00",-11.30,-5.65,0.0,0
2325B,GREWMI,1,1,1.6,13.7,2015,23.8,Understory,6-11,Alive,36,Intermediate,6.00,"7,321.98",0.34,0.21,0.11,"1,200.00",10.55,600.00,"1,810.55",1.40,0.70,26.7,0
2325C,MACALO,1,1,3.6,10.6,2015,11.5,Understory,1-5,Alive,3,Young,17.00,"2,095.45",0.10,0.10,0.05,"3,400.00",5.10,"1,700.00","5,105.10",11.50,5.75,16.7,0
2326,EUGEPE,1,1,2.3,11.3,2015,0.0,Dead,0,Dead,0,Dead,0.50,0.00,0.00,0.00,0.00,100.00,0.00,50.00,150.00,0.00,0.00,0.0,0
2327,RYPAKU,1,1,2.4,18.2,2015,0.0,Dead,0,Dead,0,Dead,11.00,0.00,0.00,0.00,0.00,"2,200.00",0.00,"1,100.00","3,300.00",0.00,0.00,0.0,0
2328,EUGEDE,1,1,8.3,15.9,2015,0.0,Dead,0,Dead,0,Dead,3.50,0.00,0.00,0.00,0.00,700.00,0.00,350.00,"1,050.00",0.00,0.00,0.0,6
2328A,AAAAAA,1,1,0.0,0.0,2015,0.0,Dead,0,Dead,0,Dead,6.00,0.00,0.00,0.00,0.00,"1,200.00",0.00,600.00,"1,800.00",0.00,0.00,0.0,0
2329,IXONIC,1,1,9.2,17.8,2015,40.1,Canopy,12-17,Alive,55,Intermediate,10.50,"74,547.32",3.50,0.36,0.18,"2,100.00",17.77,"1,050.00","3,167.77",-0.10,-0.05,34.6,0
2329A,APORPE,1,1,6.7,17.6,2015,0.0,Dead,0,Dead,0,,2.50,0.00,0.00,0.00,0.00,500.00,0.00,250.00,750.00,-13.90,-6.95,0.0,0
2329B,APORPE,1,1,0.0,0.0,2015,0.0,Dead,0,Dead,0,Dead,2.50,0.00,0.00,0.00,0.00,500.00,0.00,250.00,750.00,0.00,0.00,0.0,0
2330,GANUSN,1,1,17.9,12.4,2015,0.0,Dead,0,Dead,0,Dead,4.00,0.00,0.00,0.00,0.00,800.00,0.00,400.00,"1,200.00",0.00,0.00,0.0,0
2330A,XYLOM1,1,1,18.0,14.2,2015,26.6,Understory,6-11,Alive,44,Intermediate,1.50,"2,642.84",0.12,0.24,0.12,300.00,11.79,150.00,461.79,-0.60,-0.30,28.4,0
2330B,ARTOIS,1,1,19.5,12.2,2015,13.6,Understory,1-5,Alive,3,Young,3.50,719.78,0.03,0.12,0.06,700.00,6.03,350.00,"1,056.03",13.60,6.80,18.8,6
2330C,APORCO,1,1,19.1,12.0,2015,12.7,Understory,1-5,Alive,3,Young,0.50,83.33,0.00,0.11,0.06,100.00,5.63,50.00,155.63,12.70,6.35,17.9,0
2330D,SHORM1,1,1,18.2,12.8,2015,11.7,Understory,1-5,Alive,3,Young,21.00,"2,727.09",0.13,0.10,0.05,"4,200.00",5.18,"2,100.00","6,305.18",11.70,5.85,16.9,10
2331,ALANRI,1,1,19.0,11.2,2015,16.4,Understory,6-11,Alive,49,Intermediate,8.00,"2,947.92",0.14,0.15,0.07,"1,600.00",7.27,800.00,"2,407.27",0.00,0.00,21.3,9
2331A,PORTAN,1,1,19.1,10.6,2015,12.8,Understory,1-5,Alive,3,Young,11.50,"1,963.23",0.09,0.11,0.06,"2,300.00",5.67,"1,150.00","3,455.67",12.80,6.40,18.0,0
2331B,SHORP2,1,1,18.6,19.0,2015,0.0,Dead,0,Dead,0,Dead,11.50,0.00,0.00,0.00,0.00,"2,300.00",0.00,"1,150.00","3,450.00",0.00,0.00,0.0,0
2332,DIPTC1,1,1,19.7,10.6,2015,28.2,Understory,6-11,Alive,52,Intermediate,13.50,"28,896.62",1.36,0.25,0.12,"2,700.00",12.50,"1,350.00","4,062.50",-0.20,-0.10,29.3,6
2332A,MACALO,1,1,20.0,10.5,2015,12.6,Understory,1-5,Alive,3,Young,17.00,"2,765.74",0.13,0.11,0.06,"3,400.00",5.58,"1,700.00","5,105.58",12.60,6.30,17.8,0
2333,LITHCU,1,1,17.5,4.0,2015,0.0,Dead,0,Dead,0,Dead,5.50,0.00,0.00,0.00,0.00,"1,100.00",0.00,550.00,"1,650.00",0.00,0.00,0.0,0
2334,BUCHSE,1,1,15.4,6.1,2015,0.0,Dead,0,Dead,0,Dead,6.50,0.00,0.00,0.00,0.00,"1,300.00",0.00,650.00,"1,950.00",0.00,0.00,0.0,0
2335,EUGEFL,1,1,14.3,6.4,2015,39.1,Canopy,12-17,Alive,50,Intermediate,1.00,"6,505.01",0.31,0.35,0.17,200.00,17.33,100.00,317.33,-0.70,-0.35,34.3,0
2335A,XERONO,1,1,14.5,7.5,2015,13.1,Understory,1-5,Alive,3,Young,10.50,"1,924.39",0.09,0.12,0.06,"2,100.00",5.80,"1,050.00","3,155.80",13.10,6.55,18.3,11
2335B,APORBR,1,1,16.0,8.0,2015,13.2,Understory,1-5,Alive,3,Young,5.00,938.02,0.04,0.12,0.06,"1,000.00",5.85,500.00,"1,505.85",13.20,6.60,18.4,0
2335C,CROTLA,1,1,15.6,6.4,2015,10.9,Understory,1-5,Alive,3,Young,11.00,"1,153.78",0.05,0.10,0.05,"2,200.00",4.83,"1,100.00","3,304.83",10.90,5.45,16.1,5
2336,PTYCCO,1,1,15.6,1.1,2015,13.3,Understory,1-5,Alive,50,Intermediate,7.00,"1,344.04",0.06,0.12,0.06,"1,400.00",5.89,700.00,"2,105.89",-1.70,-0.85,18.5,0
2337,DIPTC1,1,1,15.7,0.7,2015,31.8,Canopy,12-17,Alive,51,Intermediate,13.50,"43,290.21",2.03,0.28,0.14,"2,700.00",14.09,"1,350.00","4,064.09",0.70,0.35,31.1,6
2337A,DIOSNU,1,1,16.2,0.5,2015,11.0,Understory,1-5,Alive,3,Young,0.50,53.90,0.00,0.10,0.05,100.00,4.87,50.00,154.87,11.00,5.50,16.2,0
2338,KNEMMA,1,1,14.6,0.0,2015,25.9,Understory,6-11,Alive,51,Intermediate,5.50,"8,870.00",0.42,0.23,0.11,"1,100.00",11.48,550.00,"1,661.48",-0.60,-0.30,28.0,6
2339,KOOMMA,1,1,10.4,0.2,2015,0.0,Dead,0,Dead,0,Dead,4.50,0.00,0.00,0.00,0.00,900.00,0.00,450.00,"1,350.00",0.00,0.00,0.0,7
2339A,ARCHDI,1,1,8.5,1.2,2015,18.4,Understory,6-11,Alive,31,Intermediate,0.50,265.33,0.01,0.16,0.08,100.00,8.15,50.00,158.15,0.50,0.25,23.0,0
2339B,XYLOM2,1,1,8.8,1.4,2015,14.6,Understory,6-11,Alive,24,Intermediate,3.00,768.44,0.04,0.13,0.06,600.00,6.47,300.00,906.47,0.40,0.20,19.7,0
2343,MANGQU,2,1,31.1,2.5,2015,11.2,Understory,1-5,Alive,3,Young,7.00,796.69,0.04,0.10,0.05,"1,400.00",4.96,700.00,"2,104.96",11.20,5.60,16.4,0
2340,OCHAAM,2,1,22.8,1.3,2015,0.0,Dead,0,Dead,0,Dead,10.00,0.00,0.00,0.00,0.00,"2,000.00",0.00,"1,000.00","3,000.00",0.00,0.00,0.0,0
2340A,AAAAAA,2,1,0.0,0.0,2015,0.0,Dead,0,Dead,0,Dead,6.00,0.00,0.00,0.00,0.00,"1,200.00",0.00,600.00,"1,800.00",0.00,0.00,0.0,0
2341,EUGECL,2,1,27.8,3.8,2015,0.0,Dead,0,Dead,0,,4.00,0.00,0.00,0.00,0.00,800.00,0.00,400.00,"1,200.00",-31.90,-15.95,0.0,0
2342,SHORM1,2,1,32.3,2.8,2015,61.5,Emergent,>24,Alive,61,Mature,21.00,"679,094.30",31.92,0.55,0.27,"4,200.00",27.25,"2,100.00","6,327.25",0.90,0.45,40.8,10
2343A,SANTAP,2,1,31.0,1.2,2015,11.2,Understory,1-5,Alive,3,Young,2.00,227.63,0.01,0.10,0.05,400.00,4.96,200.00,604.96,11.20,5.60,16.4,0
2343B,HORSCR,2,1,28.5,1.0,2015,11.2,Understory,1-5,Alive,3,Young,0.50,56.91,0.00,0.10,0.05,100.00,4.96,50.00,154.96,11.20,5.60,16.4,0
2344,CALODI,2,1,32.5,4.3,2015,0.0,Dead,0,Dead,0,Dead,10.00,0.00,0.00,0.00,0.00,"2,000.00",0.00,"1,000.00","3,000.00",0.00,0.00,0.0,5
2345,DACRR1,2,1,33.5,0.4,2015,12.3,Understory,1-5,Alive,48,Intermediate,22.00,"3,325.55",0.16,0.11,0.05,"4,400.00",5.45,"2,200.00","6,605.45",0.00,0.00,17.5,0
2346,CLE1SU,2,1,33.7,2.0,2015,16.1,Understory,6-11,Alive,48,Intermediate,4.50,"1,564.65",0.07,0.14,0.07,900.00,7.13,450.00,"1,357.13",-0.10,-0.05,21.1,0
2347,IXONIC,2,1,28.4,7.7,2015,0.0,Dead,0,Dead,0,Dead,10.50,0.00,0.00,0.00,0.00,"2,100.00",0.00,"1,050.00","3,150.00",0.00,0.00,0.0,0
2348,DACRR1,2,1,29.7,8.9,2015,13.7,Understory,1-5,Alive,48,Intermediate,22.00,"4,627.67",0.22,0.12,0.06,"4,400.00",6.07,"2,200.00","6,606.07",-0.90,-0.45,18.9,0
2349,DACRR1,2,1,22.5,6.6,2015,17.0,Understory,6-11,Alive,51,Intermediate,22.00,"9,080.03",0.43,0.15,0.08,"4,400.00",7.53,"2,200.00","6,607.53",-0.10,-0.05,21.8,0
2349A,DACRR1,2,1,23.1,6.7,2015,11.4,Understory,1-5,Alive,18,Young,22.00,"2,641.16",0.12,0.10,0.05,"4,400.00",5.05,"2,200.00","6,605.05",-0.10,-0.05,16.6,0
2349B,APORBR,2,1,24.1,7.1,2015,12.2,Understory,1-5,Alive,3,Young,5.00,737.25,0.03,0.11,0.05,"1,000.00",5.41,500.00,"1,505.41",12.20,6.10,17.4,0
2349C,SHORP1,2,1,23.5,7.0,2015,10.8,Understory,1-5,Alive,3,Young,12.00,"1,224.33",0.06,0.10,0.05,"2,400.00",4.79,"1,200.00","3,604.79",10.80,5.40,16.0,0
2350,ARTOIS,2,1,21.1,8.6,2015,34.7,Canopy,12-17,Alive,57,Intermediate,3.50,"15,102.38",0.71,0.31,0.15,700.00,15.38,350.00,"1,065.38",0.10,0.05,32.5,6
2350A,NEPHOP,2,1,21.4,6.2,2015,0.0,Dead,0,Dead,0,Dead,1.00,0.00,0.00,0.00,0.00,200.00,0.00,100.00,300.00,0.00,0.00,0.0,0
2351A,AAAAAA,2,1,0.0,0.0,2015,0.0,Dead,0,Dead,0,Dead,6.00,0.00,0.00,0.00,0.00,"1,200.00",0.00,600.00,"1,800.00",0.00,0.00,0.0,0
2352,NEOSKI,2,1,29.3,16.5,2015,0.0,Dead,0,Dead,0,Dead,6.50,0.00,0.00,0.00,0.00,"1,300.00",0.00,650.00,"1,950.00",0.00,0.00,0.0,0
2353,POL1HY,2,1,30.8,15.3,2015,0.0,Dead,0,Dead,0,Dead,3.00,0.00,0.00,0.00,0.00,600.00,0.00,300.00,900.00,0.00,0.00,0.0,0
2354,HERISI,2,1,32.1,17.4,2015,11.3,Understory,1-5,Alive,48,Intermediate,2.00,233.81,0.01,0.10,0.05,400.00,5.01,200.00,605.01,-0.10,-0.05,16.5,0
2355,CHISTO,2,1,34.0,19.5,2015,13.2,Understory,1-5,Alive,48,Intermediate,1.50,281.41,0.01,0.12,0.06,300.00,5.85,150.00,455.85,0.00,0.00,18.4,0
2355A,DIPTC1,2,1,33.2,19.0,2015,10.7,Understory,1-5,Alive,3,Young,13.50,"1,339.49",0.06,0.09,0.05,"2,700.00",4.74,"1,350.00","4,054.74",10.70,5.35,15.8,6
2356,DIPTC1,2,1,36.8,19.3,2015,0.0,Dead,0,Dead,0,Dead,13.50,0.00,0.00,0.00,0.00,"2,700.00",0.00,"1,350.00","4,050.00",0.00,0.00,0.0,6
2357,MACALO,2,1,39.4,17.2,2015,0.0,Dead,0,Dead,0,Dead,17.00,0.00,0.00,0.00,0.00,"3,400.00",0.00,"1,700.00","5,100.00",0.00,0.00,0.0,0
2358,CALODI,2,1,39.6,15.0,2015,0.0,Dead,0,Dead,0,Dead,10.00,0.00,0.00,0.00,0.00,"2,000.00",0.00,"1,000.00","3,000.00",0.00,0.00,0.0,5
2359,EUGERI,2,1,37.8,12.8,2015,0.0,Dead,0,Dead,0,,4.50,0.00,0.00,0.00,0.00,900.00,0.00,450.00,"1,350.00",-27.30,-13.65,0.0,0
2360,GARCRO,2,1,37.1,13.5,2015,0.0,Dead,0,Dead,0,Dead,0.50,0.00,0.00,0.00,0.00,100.00,0.00,50.00,150.00,0.00,0.00,0.0,0
2361,POMEPA,2,1,37.4,8.1,2015,47.1,Canopy,18-23,Alive,59,Intermediate,3.00,"37,390.50",1.76,0.42,0.21,600.00,20.87,300.00,920.87,-11.80,-5.90,37.0,0
2361A,PIMEGR,2,1,38.2,9.6,2015,0.0,Dead,0,Dead,0,Dead,10.50,0.00,0.00,0.00,0.00,"2,100.00",0.00,"1,050.00","3,150.00",0.00,0.00,0.0,0
2362,DACRR1,2,1,36.0,7.3,2015,18.6,Understory,6-11,Alive,50,Intermediate,22.00,"12,084.41",0.57,0.16,0.08,"4,400.00",8.24,"2,200.00","6,608.24",0.40,0.20,23.1,0
2362A,ANI2CO,2,1,37.1,10.2,2015,14.5,Understory,6-11,Alive,3,Young,1.00,250.74,0.01,0.13,0.06,200.00,6.42,100.00,306.42,14.50,7.25,19.7,0
2362B,SANTLA,2,1,35.3,9.8,2015,10.9,Understory,1-5,Alive,3,Young,9.00,944.00,0.04,0.10,0.05,"1,800.00",4.83,900.00,"2,704.83",10.90,5.45,16.1,4
2363,ACROPO,2,1,36.1,4.7,2015,0.0,Dead,0,Dead,0,Dead,2.50,0.00,0.00,0.00,0.00,500.00,0.00,250.00,750.00,0.00,0.00,0.0,0
2364,GLUTEL,2,1,39.9,2.7,2015,0.0,Dead,0,Dead,0,Dead,0.50,0.00,0.00,0.00,0.00,100.00,0.00,50.00,150.00,0.00,0.00,0.0,17
2365,DACRRO,2,1,39.5,1.7,2015,0.0,Dead,0,Dead,0,Dead,4.50,0.00,0.00,0.00,0.00,900.00,0.00,450.00,"1,350.00",0.00,0.00,0.0,7
2366,CRY1GR,3,1,42.3,2.2,2015,0.0,Dead,0,Dead,0,Dead,3.00,0.00,0.00,0.00,0.00,600.00,0.00,300.00,900.00,0.00,0.00,0.0,5
2367,CLE1SU,3,1,45.0,2.7,2015,23.4,Understory,6-11,Alive,53,Intermediate,4.50,"5,194.60",0.24,0.21,0.10,900.00,10.37,450.00,"1,360.37",0.20,0.10,26.5,0
2367A,ADENBI,3,1,46.9,6.1,2015,0.0,Dead,0,Dead,0,Dead,1.50,0.00,0.00,0.00,0.00,300.00,0.00,150.00,450.00,0.00,0.00,0.0,5
2367B,APORPR,3,1,0.0,0.0,2015,0.0,Dead,0,Dead,0,Dead,3.50,0.00,0.00,0.00,0.00,700.00,0.00,350.00,"1,050.00",0.00,0.00,0.0,0
2367C,CYNOMA,3,1,42.5,4.2,2015,13.3,Understory,1-5,Alive,3,Young,5.00,960.03,0.05,0.12,0.06,"1,000.00",5.89,500.00,"1,505.89",13.30,6.65,18.5,0
2367D,DIPLMA,3,1,41.4,7.0,2015,0.0,Dead,0,Dead,0,Dead,5.50,0.00,0.00,0.00,0.00,"1,100.00",0.00,550.00,"1,650.00",0.00,0.00,0.0,0
2367F,EUGETU,3,1,46.2,7.2,2015,0.0,Dead,0,Dead,0,Dead,1.00,0.00,0.00,0.00,0.00,200.00,0.00,100.00,300.00,0.00,0.00,0.0,8
2368,MACALO,3,1,42.4,12.8,2015,0.0,Dead,0,Dead,0,Dead,17.00,0.00,0.00,0.00,0.00,"3,400.00",0.00,"1,700.00","5,100.00",0.00,0.00,0.0,0
2369,MANGQU,3,1,43.2,12.9,2015,15.9,Understory,6-11,Alive,49,Intermediate,7.00,"2,340.22",0.11,0.14,0.07,"1,400.00",7.05,700.00,"2,107.05",0.30,0.15,20.9,0
2369A,CLE1SU,3,1,0.0,0.0,2015,11.3,Understory,1-5,Alive,31,Intermediate,4.50,526.07,0.02,0.10,0.05,900.00,5.01,450.00,"1,355.01",0.00,0.00,16.5,0
2369B,DIALPL,3,1,44.7,11.4,2015,24.7,Understory,6-11,Alive,31,Intermediate,1.00,"1,378.77",0.06,0.22,0.11,200.00,10.94,100.00,310.94,2.00,1.00,27.3,0
2370,GANUSN,3,1,40.4,13.4,2015,13.3,Understory,1-5,Alive,12,Young,4.00,768.02,0.04,0.12,0.06,800.00,5.89,400.00,"1,205.89",0.00,0.00,18.5,0
2371,CALODI,3,1,42.0,14.8,2015,0.0,Dead,0,Dead,0,Dead,10.00,0.00,0.00,0.00,0.00,"2,000.00",0.00,"1,000.00","3,000.00",0.00,0.00,0.0,5
2372,DACRR1,3,1,42.8,17.2,2015,0.0,Dead,0,Dead,0,Dead,22.00,0.00,0.00,0.00,0.00,"4,400.00",0.00,"2,200.00","6,600.00",0.00,0.00,0.0,0
2373,SHORP1,3,1,44.4,18.3,2015,0.0,Dead,0,Dead,0,Dead,12.00,0.00,0.00,0.00,0.00,"2,400.00",0.00,"1,200.00","3,600.00",0.00,0.00,0.0,0
2374,EUGEC1,3,1,45.0,16.9,2015,0.0,Dead,0,Dead,0,Dead,8.00,0.00,0.00,0.00,0.00,"1,600.00",0.00,800.00,"2,400.00",0.00,0.00,0.0,0
2375,CLE1SU,3,1,48.0,15.0,2015,11.6,Understory,1-5,Alive,31,Intermediate,4.50,569.39,0.03,0.10,0.05,900.00,5.14,450.00,"1,355.14",0.20,0.10,16.8,0
2375A,MYRICI,3,1,49.5,15.8,2015,10.7,Understory,1-5,Alive,3,Young,1.00,99.22,0.00,0.09,0.05,200.00,4.74,100.00,304.74,10.70,5.35,15.8,0
2375B,GARCNE,3,1,47.3,15.8,2015,0.0,Dead,0,Dead,0,Dead,0.50,0.00,0.00,0.00,0.00,100.00,0.00,50.00,150.00,0.00,0.00,0.0,6
2376,IXONIC,3,1,48.9,13.7,2015,37.9,Canopy,12-17,Alive,54,Intermediate,10.50,"61,330.50",2.88,0.34,0.17,"2,100.00",16.79,"1,050.00","3,166.79",0.60,0.30,33.8,0
2376A,EUGEIN,3,1,52.3,11.4,2015,25.2,Understory,6-11,Alive,44,Intermediate,0.50,736.50,0.03,0.22,0.11,100.00,11.17,50.00,161.17,8.40,4.20,27.6,0
2377,OCHAAM,3,1,48.7,11.8,2015,17.9,Understory,6-11,Alive,49,Intermediate,10.00,"4,860.79",0.23,0.16,0.08,"2,000.00",7.93,"1,000.00","3,007.93",0.00,0.00,22.6,0
2377A,BUCHSE,3,1,49.0,12.0,2015,17.2,Understory,6-11,Alive,24,Intermediate,6.50,"2,783.87",0.13,0.15,0.08,"1,300.00",7.62,650.00,"1,957.62",0.20,0.10,22.0,0
2377B,GREWMI,3,1,48.0,12.0,2015,11.9,Understory,1-5,Alive,3,Young,6.00,820.24,0.04,0.11,0.05,"1,200.00",5.27,600.00,"1,805.27",11.90,5.95,17.1,0
2378,SAR1GR,3,1,55.6,16.1,2015,111.9,Emergent,>24,Alive,78,Mature,5.00,"1,506,678.15",70.81,0.99,0.50,"1,000.00",49.58,500.00,"1,549.58",0.00,0.00,47.9,9
2378A,RYPAKU,3,1,56.2,17.0,2015,15.0,Understory,6-11,Alive,3,Young,11.00,"3,064.86",0.14,0.13,0.07,"2,200.00",6.65,"1,100.00","3,306.65",15.00,7.50,20.1,0
2378B,PAYELU,3,1,56.6,16.5,2015,12.5,Understory,1-5,Alive,3,Young,6.00,952.68,0.04,0.11,0.06,"1,200.00",5.54,600.00,"1,805.54",12.50,6.25,17.7,8
2379,CLE1SU,3,1,58.0,12.2,2015,14.1,Understory,6-11,Alive,49,Intermediate,4.50,"1,034.59",0.05,0.12,0.06,900.00,6.25,450.00,"1,356.25",-0.10,-0.05,19.3,0
2379A,PORTAN,3,1,58.8,11.4,2015,21.4,Understory,6-11,Alive,31,Intermediate,11.50,"9,920.65",0.47,0.19,0.09,"2,300.00",9.48,"1,150.00","3,459.48",0.30,0.15,25.2,0
2380,CARABR,3,1,58.4,7.9,2015,0.0,Dead,0,Dead,0,Dead,1.50,0.00,0.00,0.00,0.00,300.00,0.00,150.00,450.00,0.00,0.00,0.0,0
2381,NEOBHE,3,1,56.7,4.5,2015,19.4,Understory,6-11,Alive,49,Intermediate,5.00,"3,142.85",0.15,0.17,0.09,"1,000.00",8.60,500.00,"1,508.60",-0.70,-0.35,23.7,0
2382,BEILL1,3,1,55.2,2.2,2015,15.5,Understory,6-11,Alive,49,Intermediate,0.50,154.33,0.01,0.14,0.07,100.00,6.87,50.00,156.87,0.20,0.10,20.6,6
2382A,MACALO,3,1,55.0,0.6,2015,0.0,Dead,0,Dead,0,Dead,17.00,0.00,0.00,0.00,0.00,"3,400.00",0.00,"1,700.00","5,100.00",0.00,0.00,0.0,0
2383,DIPTC1,4,1,63.4,0.4,2015,68.8,Emergent,>24,Alive,62,Mature,13.50,"656,827.86",30.87,0.61,0.30,"2,700.00",30.49,"1,350.00","4,080.49",7.00,3.50,42.3,6
2384,POMEPA,4,1,61.0,3.5,2015,12.8,Understory,1-5,Alive,18,Young,3.00,512.15,0.02,0.11,0.06,600.00,5.67,300.00,905.67,0.40,0.20,18.0,0
2384A,SCA1SP,4,1,69.5,1.8,2015,10.5,Understory,1-5,Alive,3,Young,6.00,562.64,0.03,0.09,0.05,"1,200.00",4.65,600.00,"1,804.65",10.50,5.25,15.6,0
2385,ALPHEL,4,1,61.8,3.3,2015,19.4,Understory,6-11,Alive,49,Intermediate,3.50,"2,199.99",0.10,0.17,0.09,700.00,8.60,350.00,"1,058.60",0.60,0.30,23.7,0
2386,GIRONE,4,1,60.9,4.8,2015,0.0,Dead,0,Dead,0,Dead,6.00,0.00,0.00,0.00,0.00,"1,200.00",0.00,600.00,"1,800.00",0.00,0.00,0.0,0
2387,OCHAAM,4,1,63.6,6.1,2015,13.8,Understory,1-5,Alive,49,Intermediate,10.00,"2,151.23",0.10,0.12,0.06,"2,000.00",6.11,"1,000.00","3,006.11",0.00,0.00,19.0,0
2388,CLE1SU,4,1,65.5,4.9,2015,14.7,Understory,6-11,Alive,48,Intermediate,4.50,"1,177.37",0.06,0.13,0.07,900.00,6.51,450.00,"1,356.51",0.00,0.00,19.8,0
2389,GIRONE,4,1,67.5,4.9,2015,0.0,Dead,0,Dead,0,,6.00,0.00,0.00,0.00,0.00,"1,200.00",0.00,600.00,"1,800.00",-23.30,-11.65,0.0,0
2389A,SHORP2,4,1,70.5,6.0,2015,14.1,Understory,6-11,Alive,3,Young,11.50,"2,643.96",0.12,0.12,0.06,"2,300.00",6.25,"1,150.00","3,456.25",14.10,7.05,19.3,0
2389B,GREWMI,4,1,71.6,6.5,2015,16.6,Understory,6-11,Alive,3,Young,6.00,"2,297.02",0.11,0.15,0.07,"1,200.00",7.36,600.00,"1,807.36",16.60,8.30,21.5,0
2389C,SHORM1,4,1,73.8,6.1,2015,11.2,Understory,1-5,Alive,3,Young,21.00,"2,390.07",0.11,0.10,0.05,"4,200.00",4.96,"2,100.00","6,304.96",11.20,5.60,16.4,10
2389D,SHOROV,4,1,74.2,3.5,2015,40.9,Canopy,12-17,Alive,3,Young,2.00,"15,207.63",0.71,0.36,0.18,400.00,18.12,200.00,618.12,40.90,20.45,34.9,0
2390,KNEMSC,4,1,68.2,6.5,2015,0.0,Dead,0,Dead,0,Dead,7.50,0.00,0.00,0.00,0.00,"1,500.00",0.00,750.00,"2,250.00",0.00,0.00,0.0,0
2391,APORPR,4,1,69.4,7.2,2015,11.7,Understory,1-5,Alive,48,Intermediate,3.50,454.51,0.02,0.10,0.05,700.00,5.18,350.00,"1,055.18",0.00,0.00,16.9,0
2391A,DACRRI,4,1,71.0,7.6,2015,19.9,Understory,6-11,Alive,22,Intermediate,0.50,341.06,0.02,0.18,0.09,100.00,8.82,50.00,158.82,4.50,2.25,24.1,7
2391B,LITHEW,4,1,71.5,7.0,2015,11.5,Understory,1-5,Alive,3,Young,3.00,369.79,0.02,0.10,0.05,600.00,5.10,300.00,905.10,11.50,5.75,16.7,0
2392,CASTME,4,1,68.4,9.1,2015,0.0,Dead,0,Dead,0,Dead,2.50,0.00,0.00,0.00,0.00,500.00,0.00,250.00,750.00,0.00,0.00,0.0,0
2393,ALPHMA,4,1,71.2,11.0,2015,0.0,Dead,0,Dead,0,Dead,5.50,0.00,0.00,0.00,0.00,"1,100.00",0.00,550.00,"1,650.00",0.00,0.00,0.0,0
2394,XANTEU,4,1,71.1,14.3,2015,0.0,Dead,0,Dead,0,Dead,16.00,0.00,0.00,0.00,0.00,"3,200.00",0.00,"1,600.00","4,800.00",0.00,0.00,0.0,15
2395,ALPHMA,4,1,67.7,15.7,2015,28.3,Understory,6-11,Alive,48,Intermediate,5.50,"11,912.86",0.56,0.25,0.13,"1,100.00",12.54,550.00,"1,662.54",4.70,2.35,29.4,0
