TAG,Species,QUAD,Hectare,XCO,YCO,Year,DBH,Size Class,Size Class by Inch,Status,Age,Age Class,Density,AGB,Carbon,Basal Area,Dom,RFre,RDom,RDen,IV,Growth,Growth rate,Height,LifeSpan,harvested
2331,ALANRI,1,1,19.0,11.2,2019,16.5,Understory,6-11,Alive,53,Intermediate,8.0,"3,004.91",0.14,0.15,0.07,"1,600.00",7.31,800.00,"2,407.31",-0.1,-0.05,21.4,9,1
2331A,PORTAN,1,1,19.1,10.6,2019,13.1,Understory,1-5,Alive,7,Young,11.5,"2,107.67",0.1,0.12,0.06,"2,300.00",5.8,"1,150.00","3,455.80",0.0,0.0,18.3,0,0
2331B,SHORP2,1,1,18.6,19.0,2019,12.9,Understory,1-5,Alive,4,Young,11.5,"2,010.57",0.09,0.11,0.06,"2,300.00",5.72,"1,150.00","3,455.72",0.1,0.05,18.1,0,1
2332,DIPTC1,1,1,19.7,10.6,2019,30.3,Canopy,12-17,Alive,56,Intermediate,13.5,"36,772.39",1.73,0.27,0.13,"2,700.00",13.43,"1,350.00","4,063.43",1.6,0.8,30.4,6,1
2332,DIPTC1,1,1,19.7,10.6,2019,30.3,Canopy,12-17,Alive,56,Intermediate,13.5,"36,772.39",1.73,0.27,0.13,"2,700.00",13.43,"1,350.00","4,063.43",1.6,0.8,30.4,6,1
2332A,MACALO,1,1,20.0,10.5,2019,12.4,Understory,1-5,Alive,7,Young,17.0,"2,633.94",0.12,0.11,0.05,"3,400.00",5.49,"1,700.00","5,105.49",-0.2,-0.1,17.6,0,0
2335,EUGEFL,1,1,14.3,6.4,2019,40.3,Canopy,12-17,Alive,54,Intermediate,1.0,"7,223.37",0.34,0.36,0.18,200.00,17.86,100.00,317.86,0.5,0.25,34.7,0,1
2335A,XERONO,1,1,14.5,7.5,2019,13.3,Understory,1-5,Alive,7,Young,10.5,"2,016.06",0.09,0.12,0.06,"2,100.00",5.89,"1,050.00","3,155.89",0.1,0.05,18.5,11,0
2335B,APORBR,1,1,16.0,8.0,2019,14.4,Understory,6-11,Alive,7,Young,5.0,"1,227.04",0.06,0.13,0.06,"1,000.00",6.38,500.00,"1,506.38",0.9,0.45,19.6,0,1
2335C,CROTLA,1,1,15.6,6.4,2019,11.4,Understory,1-5,Alive,7,Young,11.0,"1,320.58",0.06,0.1,0.05,"2,200.00",5.05,"1,100.00","3,305.05",0.3,0.15,16.6,5,0
2336,PTYCCO,1,1,15.6,1.1,2019,13.3,Understory,1-5,Alive,54,Intermediate,7.0,"1,344.04",0.06,0.12,0.06,"1,400.00",5.89,700.00,"2,105.89",0.0,0.0,18.5,0,0
2337,DIPTC1,1,1,15.7,0.7,2019,34.1,Canopy,12-17,Alive,55,Intermediate,13.5,"54,884.60",2.58,0.3,0.15,"2,700.00",15.11,"1,350.00","4,065.11",1.3,0.65,32.2,6,1
2337,DIPTC1,1,1,15.7,0.7,2019,34.1,Canopy,12-17,Alive,55,Intermediate,13.5,"54,884.60",2.58,0.3,0.15,"2,700.00",15.11,"1,350.00","4,065.11",1.3,0.65,32.2,6,1
2337A,DIOSNU,1,1,16.2,0.5,2019,11.3,Understory,1-5,Alive,7,Young,0.5,58.45,0.0,0.1,0.05,100.00,5.01,50.00,155.01,0.1,0.05,16.5,0,0
2338,KNEMMA,1,1,14.6,0.0,2019,25.7,Understory,6-11,Alive,55,Intermediate,5.5,"8,645.24",0.41,0.23,0.11,"1,100.00",11.39,550.00,"1,661.39",-0.2,-0.1,27.9,6,0
2339A,ARCHDI,1,1,8.5,1.2,2019,18.7,Understory,6-11,Alive,35,Intermediate,0.5,279.39,0.01,0.17,0.08,100.00,8.29,50.00,158.29,0.2,0.1,23.2,0,1
2339A,ARCHDI,1,1,8.5,1.2,2019,18.7,Understory,6-11,Alive,35,Intermediate,0.5,279.39,0.01,0.17,0.08,100.00,8.29,50.00,158.29,0.2,0.1,23.2,0,1
2339B,XYLOM2,1,1,8.8,1.4,2019,14.6,Understory,6-11,Alive,28,Intermediate,3.0,768.44,0.04,0.13,0.06,600.00,6.47,300.00,906.47,-1.9,-0.95,19.7,0,0
2343,MANGQU,2,1,31.1,2.5,2019,11.1,Understory,1-5,Alive,7,Young,7.0,775.47,0.04,0.1,0.05,"1,400.00",4.92,700.00,"2,104.92",-0.1,-0.05,16.3,0,0
2342,SHORM1,2,1,32.3,2.8,2019,62.6,Emergent,>24,Alive,65,Mature,21.0,"724,168.22",34.04,0.55,0.28,"4,200.00",27.74,"2,100.00","6,327.74",0.9,0.45,41.0,10,1
2343A,SANTAP,2,1,31.0,1.2,2019,12.9,Understory,1-5,Alive,7,Young,2.0,349.66,0.02,0.11,0.06,400.00,5.72,200.00,605.72,0.2,0.1,18.1,0,1
2343B,HORSCR,2,1,28.5,1.0,2019,11.9,Understory,1-5,Alive,7,Young,0.5,68.35,0.0,0.11,0.05,100.00,5.27,50.00,155.27,0.1,0.05,17.1,0,0
2345,DACRR1,2,1,33.5,0.4,2019,11.9,Understory,1-5,Alive,52,Intermediate,22.0,"3,007.56",0.14,0.11,0.05,"4,400.00",5.27,"2,200.00","6,605.27",-0.1,-0.05,17.1,0,0
2346,CLE1SU,2,1,33.7,2.0,2019,16.1,Understory,6-11,Alive,52,Intermediate,4.5,"1,564.65",0.07,0.14,0.07,900.00,7.13,450.00,"1,357.13",0.0,0.0,21.1,0,1
2348,DACRR1,2,1,29.7,8.9,2019,14.2,Understory,6-11,Alive,52,Intermediate,22.0,"5,169.89",0.24,0.13,0.06,"4,400.00",6.29,"2,200.00","6,606.29",0.3,0.15,19.4,0,1
2349,DACRR1,2,1,22.5,6.6,2019,17.1,Understory,6-11,Alive,55,Intermediate,22.0,"9,250.03",0.43,0.15,0.08,"4,400.00",7.58,"2,200.00","6,607.58",0.0,0.0,21.9,0,1
2349B,APORBR,2,1,24.1,7.1,2019,12.3,Understory,1-5,Alive,7,Young,5.0,755.81,0.04,0.11,0.05,"1,000.00",5.45,500.00,"1,505.45",0.3,0.15,17.5,0,1
2349C,SHORP1,2,1,23.5,7.0,2019,11.7,Understory,1-5,Alive,7,Young,12.0,"1,558.33",0.07,0.1,0.05,"2,400.00",5.18,"1,200.00","3,605.18",-0.1,-0.05,16.9,0,0
2350,ARTOIS,2,1,21.1,8.6,2019,34.2,Canopy,12-17,Alive,61,Mature,3.5,"14,372.19",0.68,0.3,0.15,700.00,15.15,350.00,"1,065.15",-0.2,-0.1,32.2,6,1
2350A,NEPHOP,2,1,21.4,6.2,2019,12.1,Understory,1-5,Alive,4,Young,1.0,143.81,0.01,0.11,0.05,200.00,5.36,100.00,305.36,1.1,0.55,17.3,0,0
2354,HERISI,2,1,32.1,17.4,2019,11.4,Understory,1-5,Alive,52,Intermediate,2.0,240.11,0.01,0.1,0.05,400.00,5.05,200.00,605.05,-0.1,-0.05,16.6,0,0
2355,CHISTO,2,1,34.0,19.5,2019,13.9,Understory,1-5,Alive,52,Intermediate,1.5,329.96,0.02,0.12,0.06,300.00,6.16,150.00,456.16,0.4,0.2,19.1,0,1
2361,POMEPA,2,1,37.4,8.1,2019,48.9,Canopy,18-23,Alive,63,Mature,3.0,"42,688.17",2.01,0.43,0.22,600.00,21.67,300.00,921.67,1.8,0.9,37.6,0,1
2361A,PIMEGR,2,1,38.2,9.6,2019,15.0,Understory,6-11,Alive,4,Young,10.5,"2,925.55",0.14,0.13,0.07,"2,100.00",6.65,"1,050.00","3,156.65",0.4,0.2,20.1,0,1
2362,DACRR1,2,1,36.0,7.3,2019,18.8,Understory,6-11,Alive,54,Intermediate,22.0,"12,504.60",0.59,0.17,0.08,"4,400.00",8.33,"2,200.00","6,608.33",0.2,0.1,23.3,0,0
2362A,ANI2CO,2,1,37.1,10.2,2019,14.7,Understory,6-11,Alive,7,Young,1.0,261.64,0.01,0.13,0.07,200.00,6.51,100.00,306.51,0.2,0.1,19.8,0,0
2362B,SANTLA,2,1,35.3,9.8,2019,10.8,Understory,1-5,Alive,7,Young,9.0,918.25,0.04,0.1,0.05,"1,800.00",4.79,900.00,"2,704.79",-0.2,-0.1,16.0,4,0
2367,CLE1SU,3,1,45.0,2.7,2019,23.2,Understory,6-11,Alive,57,Intermediate,4.5,"5,050.62",0.24,0.21,0.1,900.00,10.28,450.00,"1,360.28",-0.1,-0.05,26.4,0,1
2367C,CYNOMA,3,1,42.5,4.2,2019,13.6,Understory,1-5,Alive,7,Young,5.0,"1,028.25",0.05,0.12,0.06,"1,000.00",6.03,500.00,"1,506.03",-0.6,-0.3,18.8,0,1
2367D,DIPLMA,3,1,41.4,7.0,2019,11.0,Understory,1-5,Alive,4,Young,5.5,592.93,0.03,0.1,0.05,"1,100.00",4.87,550.00,"1,654.87",0.5,0.25,16.2,0,0
2367F,EUGETU,3,1,46.2,7.2,2019,11.6,Understory,1-5,Alive,4,Young,1.0,126.53,0.01,0.1,0.05,200.00,5.14,100.00,305.14,0.9,0.45,16.8,8,0
2369,MANGQU,3,1,43.2,12.9,2019,17.2,Understory,6-11,Alive,53,Intermediate,7.0,"2,998.01",0.14,0.15,0.08,"1,400.00",7.62,700.00,"2,107.62",0.2,0.1,22.0,0,0
2369B,DIALPL,3,1,44.7,11.4,2019,25.9,Understory,6-11,Alive,35,Intermediate,1.0,"1,612.73",0.08,0.23,0.11,200.00,11.48,100.00,311.48,0.8,0.4,28.0,0,1
2370,GANUSN,3,1,40.4,13.4,2019,13.5,Understory,1-5,Alive,16,Young,4.0,804.11,0.04,0.12,0.06,800.00,5.98,400.00,"1,205.98",0.0,0.0,18.7,0,0
2375,CLE1SU,3,1,48.0,15.0,2019,12.4,Understory,1-5,Alive,35,Intermediate,4.5,697.22,0.03,0.11,0.05,900.00,5.49,450.00,"1,355.49",0.8,0.4,17.6,0,1
2375A,MYRICI,3,1,49.5,15.8,2019,11.0,Understory,1-5,Alive,7,Young,1.0,107.81,0.01,0.1,0.05,200.00,4.87,100.00,304.87,0.0,0.0,16.2,0,0
2375B,GARCNE,3,1,47.3,15.8,2019,11.5,Understory,1-5,Alive,4,Young,0.5,61.63,0.0,0.1,0.05,100.00,5.1,50.00,155.10,1.3,0.65,16.7,6,0
2376,IXONIC,3,1,48.9,13.7,2019,38.8,Canopy,12-17,Alive,58,Intermediate,10.5,"66,507.27",3.13,0.34,0.17,"2,100.00",17.19,"1,050.00","3,167.19",0.7,0.35,34.2,0,1
2376A,EUGEIN,3,1,52.3,11.4,2019,25.8,Understory,6-11,Alive,48,Intermediate,0.5,796.10,0.04,0.23,0.11,100.00,11.43,50.00,161.43,0.1,0.05,28.0,0,1
2377,OCHAAM,3,1,48.7,11.8,2019,18.4,Understory,6-11,Alive,53,Intermediate,10.0,"5,306.60",0.25,0.16,0.08,"2,000.00",8.15,"1,000.00","3,008.15",0.1,0.05,23.0,0,0
2377A,BUCHSE,3,1,49.0,12.0,2019,18.5,Understory,6-11,Alive,28,Intermediate,6.5,"3,509.46",0.16,0.16,0.08,"1,300.00",8.2,650.00,"1,958.20",0.5,0.25,23.0,0,1
2377A,BUCHSE,3,1,49.0,12.0,2019,18.5,Understory,6-11,Alive,28,Intermediate,6.5,"3,509.46",0.16,0.16,0.08,"1,300.00",8.2,650.00,"1,958.20",0.5,0.25,23.0,0,1
2377B,GREWMI,3,1,48.0,12.0,2019,12.9,Understory,1-5,Alive,7,Young,6.0,"1,048.99",0.05,0.11,0.06,"1,200.00",5.72,600.00,"1,805.72",0.9,0.45,18.1,0,0
2378,SAR1GR,3,1,55.6,16.1,2019,112.4,Emergent,>24,Alive,82,Mature,5.0,"1,532,672.32",72.04,1.0,0.5,"1,000.00",49.8,500.00,"1,549.80",0.5,0.25,48.0,9,1
2378A,RYPAKU,3,1,56.2,17.0,2019,16.0,Understory,6-11,Alive,7,Young,11.0,"3,750.58",0.18,0.14,0.07,"2,200.00",7.09,"1,100.00","3,307.09",0.2,0.1,21.0,0,1
2378B,PAYELU,3,1,56.6,16.5,2019,13.2,Understory,1-5,Alive,7,Young,6.0,"1,125.63",0.05,0.12,0.06,"1,200.00",5.85,600.00,"1,805.85",0.1,0.05,18.4,8,0
2379,CLE1SU,3,1,58.0,12.2,2019,14.9,Understory,6-11,Alive,53,Intermediate,4.5,"1,227.95",0.06,0.13,0.07,900.00,6.6,450.00,"1,356.60",0.8,0.4,20.0,0,0
2379A,PORTAN,3,1,58.8,11.4,2019,22.2,Understory,6-11,Alive,35,Intermediate,11.5,"11,177.71",0.53,0.2,0.1,"2,300.00",9.84,"1,150.00","3,459.84",0.4,0.2,25.7,0,1
2382,BEILL1,3,1,55.2,2.2,2019,15.5,Understory,6-11,Alive,53,Intermediate,0.5,154.33,0.01,0.14,0.07,100.00,6.87,50.00,156.87,0.0,0.0,20.6,6,1
2382A,MACALO,3,1,55.0,0.6,2019,11.7,Understory,1-5,Alive,4,Young,17.0,"2,207.64",0.1,0.1,0.05,"3,400.00",5.18,"1,700.00","5,105.18",0.9,0.45,16.9,0,0
2383,DIPTC1,4,1,63.4,0.4,2019,70.5,Emergent,>24,Alive,66,Mature,13.5,"718,317.99",33.76,0.62,0.31,"2,700.00",31.24,"1,350.00","4,081.24",1.3,0.65,42.6,6,1
2384,POMEPA,4,1,61.0,3.5,2019,12.5,Understory,1-5,Alive,22,Intermediate,3.0,476.34,0.02,0.11,0.06,600.00,5.54,300.00,905.54,-0.3,-0.15,17.7,0,0
2384A,SCA1SP,4,1,69.5,1.8,2019,10.9,Understory,1-5,Alive,7,Young,6.0,629.33,0.03,0.1,0.05,"1,200.00",4.83,600.00,"1,804.83",-0.1,-0.05,16.1,0,0
2385,ALPHEL,4,1,61.8,3.3,2019,19.5,Understory,6-11,Alive,53,Intermediate,3.5,"2,236.60",0.11,0.17,0.09,700.00,8.64,350.00,"1,058.64",0.1,0.05,23.8,0,1
2388,CLE1SU,4,1,65.5,4.9,2019,14.9,Understory,6-11,Alive,52,Intermediate,4.5,"1,227.95",0.06,0.13,0.07,900.00,6.6,450.00,"1,356.60",0.2,0.1,20.0,0,0
2389A,SHORP2,4,1,70.5,6.0,2019,16.8,Understory,6-11,Alive,7,Young,11.5,"4,572.18",0.21,0.15,0.07,"2,300.00",7.44,"1,150.00","3,457.44",1.4,0.7,21.7,0,0
2389B,GREWMI,4,1,71.6,6.5,2019,16.8,Understory,6-11,Alive,7,Young,6.0,"2,385.48",0.11,0.15,0.07,"1,200.00",7.44,600.00,"1,807.44",0.0,0.0,21.7,0,1
2389B,GREWMI,4,1,71.6,6.5,2019,16.8,Understory,6-11,Alive,7,Young,6.0,"2,385.48",0.11,0.15,0.07,"1,200.00",7.44,600.00,"1,807.44",0.0,0.0,21.7,0,1
2389C,SHORM1,4,1,73.8,6.1,2019,13.8,Understory,1-5,Alive,7,Young,21.0,"4,517.58",0.21,0.12,0.06,"4,200.00",6.11,"2,100.00","6,306.11",1.3,0.65,19.0,10,0
2389D,SHOROV,4,1,74.2,3.5,2019,44.3,Canopy,12-17,Alive,7,Young,2.0,"20,095.58",0.94,0.39,0.2,400.00,19.63,200.00,619.63,1.7,0.85,36.1,0,1
2391,APORPR,4,1,69.4,7.2,2019,11.6,Understory,1-5,Alive,52,Intermediate,3.5,442.86,0.02,0.1,0.05,700.00,5.14,350.00,"1,055.14",-0.1,-0.05,16.8,0,1
2391A,DACRRI,4,1,71.0,7.6,2019,21.6,Understory,6-11,Alive,26,Intermediate,0.5,444.55,0.02,0.19,0.1,100.00,9.57,50.00,159.57,1.0,0.5,25.3,7,1
2391B,LITHEW,4,1,71.5,7.0,2019,12.3,Understory,1-5,Alive,7,Young,3.0,453.48,0.02,0.11,0.05,600.00,5.45,300.00,905.45,0.6,0.3,17.5,0,0
2395A,SHORL1,4,1,68.7,18.9,2019,40.0,Canopy,12-17,Alive,48,Intermediate,9.0,"63,346.74",2.98,0.35,0.18,"1,800.00",17.72,900.00,"2,717.72",1.6,0.8,34.6,0,1
2395B,SHORAC,4,1,69.1,17.1,2019,33.4,Canopy,12-17,Alive,35,Intermediate,8.5,"32,199.20",1.51,0.3,0.15,"1,700.00",14.8,850.00,"2,564.80",2.8,1.4,31.9,0,0
2395C,ARCHDU,4,1,67.8,16.1,2019,14.0,Understory,6-11,Alive,7,Young,0.5,112.45,0.01,0.12,0.06,100.00,6.2,50.00,156.20,0.6,0.3,19.2,0,1
2395C,ARCHDU,4,1,67.8,16.1,2019,14.0,Understory,6-11,Alive,7,Young,0.5,112.45,0.01,0.12,0.06,100.00,6.2,50.00,156.20,0.6,0.3,19.2,0,1
2395D,MACALO,4,1,67.9,16.5,2019,11.0,Understory,1-5,Alive,7,Young,17.0,"1,832.71",0.09,0.1,0.05,"3,400.00",4.87,"1,700.00","5,104.87",-0.1,-0.05,16.2,0,0
2395E,DIOSRU,4,1,66.5,15.2,2019,17.1,Understory,6-11,Alive,7,Young,1.0,420.46,0.02,0.15,0.08,200.00,7.58,100.00,307.58,0.3,0.15,21.9,25,0
2398,DIOSS1,4,1,61.1,17.2,2019,17.3,Understory,6-11,Alive,52,Intermediate,0.5,218.11,0.01,0.15,0.08,100.00,7.67,50.00,157.67,0.3,0.15,22.1,5,1
2398A,DIPLMA,4,1,62.0,15.7,2019,11.0,Understory,1-5,Alive,4,Young,5.5,592.93,0.03,0.1,0.05,"1,100.00",4.87,550.00,"1,654.87",0.1,0.05,16.2,0,0
2401,XANTEU,4,1,78.8,14.1,2019,14.8,Understory,6-11,Alive,53,Intermediate,16.0,"4,275.45",0.2,0.13,0.07,"3,200.00",6.56,"1,600.00","4,806.56",-0.1,-0.05,19.9,15,0
2407,LITHEW,4,1,79.3,7.0,2019,21.0,Understory,6-11,Alive,53,Intermediate,3.0,"2,434.49",0.11,0.19,0.09,600.00,9.31,300.00,909.31,-0.1,-0.05,24.9,0,1
2408,CLE1SU,4,1,77.9,4.6,2019,21.8,Understory,6-11,Alive,53,Intermediate,4.5,"4,122.61",0.19,0.19,0.1,900.00,9.66,450.00,"1,359.66",0.6,0.3,25.4,0,1
2410,ARCHBU,4,1,79.0,1.4,2019,12.6,Understory,1-5,Alive,52,Intermediate,11.5,"1,870.94",0.09,0.11,0.06,"2,300.00",5.58,"1,150.00","3,455.58",0.0,0.0,17.8,0,0
2410A,ALANEB,4,1,79.2,1.0,2019,12.6,Understory,1-5,Alive,7,Young,4.5,732.11,0.03,0.11,0.06,900.00,5.58,450.00,"1,355.58",-0.1,-0.05,17.8,5,1
2410A,ALANEB,4,1,79.2,1.0,2019,12.6,Understory,1-5,Alive,7,Young,4.5,732.11,0.03,0.11,0.06,900.00,5.58,450.00,"1,355.58",-0.1,-0.05,17.8,5,1
2410B,SHORP1,4,1,76.0,0.4,2019,11.8,Understory,1-5,Alive,4,Young,12.0,"1,599.04",0.08,0.1,0.05,"2,400.00",5.23,"1,200.00","3,605.23",0.3,0.15,17.0,0,0
2416,DIOSAP,5,1,81.0,5.4,2019,18.2,Understory,6-11,Alive,52,Intermediate,3.5,"1,793.71",0.08,0.16,0.08,700.00,8.06,350.00,"1,058.06",-0.9,-0.45,22.8,8,1
2423,OCHAAM,5,1,95.6,17.4,2019,19.7,Understory,6-11,Alive,54,Intermediate,10.0,"6,603.25",0.31,0.17,0.09,"2,000.00",8.73,"1,000.00","3,008.73",0.2,0.1,23.9,0,1
2423,OCHAAM,5,1,95.6,17.4,2019,19.7,Understory,6-11,Alive,54,Intermediate,10.0,"6,603.25",0.31,0.17,0.09,"2,000.00",8.73,"1,000.00","3,008.73",0.2,0.1,23.9,0,1
2423A,MACALO,5,1,95.0,18.2,2019,14.9,Understory,6-11,Alive,26,Intermediate,17.0,"4,638.90",0.22,0.13,0.07,"3,400.00",6.6,"1,700.00","5,106.60",0.6,0.3,20.0,0,1
2423A,MACALO,5,1,95.0,18.2,2019,14.9,Understory,6-11,Alive,26,Intermediate,17.0,"4,638.90",0.22,0.13,0.07,"3,400.00",6.6,"1,700.00","5,106.60",0.6,0.3,20.0,0,1
2423B,ALANEB,5,1,95.4,17.2,2019,10.8,Understory,1-5,Alive,7,Young,4.5,459.12,0.02,0.1,0.05,900.00,4.79,450.00,"1,354.79",0.1,0.05,16.0,5,0
2423C,OCHAAM,5,1,92.0,0.4,2019,10.3,Understory,1-5,Alive,4,Young,10.0,885.41,0.04,0.09,0.05,"2,000.00",4.56,"1,000.00","3,004.56",-0.3,-0.15,15.4,0,0
2426,DACRR2,5,1,98.1,16.3,2019,14.9,Understory,6-11,Alive,52,Intermediate,2.0,545.75,0.03,0.13,0.07,400.00,6.6,200.00,606.60,0.0,0.0,20.0,15,1
2426,DACRR2,5,1,98.1,16.3,2019,14.9,Understory,6-11,Alive,52,Intermediate,2.0,545.75,0.03,0.13,0.07,400.00,6.6,200.00,606.60,0.0,0.0,20.0,15,1
2426A,QUERAR,5,1,98.0,17.1,2019,14.2,Understory,6-11,Alive,7,Young,4.5,"1,057.48",0.05,0.13,0.06,900.00,6.29,450.00,"1,356.29",0.1,0.05,19.4,0,0
2427,SHORP2,5,1,99.1,19.4,2019,47.0,Canopy,18-23,Alive,28,Intermediate,11.5,"142,260.14",6.69,0.42,0.21,"2,300.00",20.83,"1,150.00","3,470.83",1.3,0.65,37.0,0,1
2427,SHORP2,5,1,99.1,19.4,2019,47.0,Canopy,18-23,Alive,28,Intermediate,11.5,"142,260.14",6.69,0.42,0.21,"2,300.00",20.83,"1,150.00","3,470.83",1.3,0.65,37.0,0,1
2427A,DILLSU,5,1,90.0,19.0,2019,13.6,Understory,1-5,Alive,28,Intermediate,2.0,411.30,0.02,0.12,0.06,400.00,6.03,200.00,606.03,1.1,0.55,18.8,0,1
2427A,DILLSU,5,1,90.0,19.0,2019,13.6,Understory,1-5,Alive,28,Intermediate,2.0,411.30,0.02,0.12,0.06,400.00,6.03,200.00,606.03,1.1,0.55,18.8,0,1
2427A,DILLSU,5,1,90.0,19.0,2019,13.6,Understory,1-5,Alive,28,Intermediate,2.0,411.30,0.02,0.12,0.06,400.00,6.03,200.00,606.03,1.1,0.55,18.8,0,1
2427A,DILLSU,5,1,90.0,19.0,2019,13.6,Understory,1-5,Alive,28,Intermediate,2.0,411.30,0.02,0.12,0.06,400.00,6.03,200.00,606.03,1.1,0.55,18.8,0,1
2427A,DILLSU,5,1,90.0,19.0,2019,13.6,Understory,1-5,Alive,28,Intermediate,2.0,411.30,0.02,0.12,0.06,400.00,6.03,200.00,606.03,1.1,0.55,18.8,0,1
2427A,DILLSU,5,1,90.0,19.0,2019,13.6,Understory,1-5,Alive,28,Intermediate,2.0,411.30,0.02,0.12,0.06,400.00,6.03,200.00,606.03,1.1,0.55,18.8,0,1
2430,SHORP2,5,1,97.4,2.1,2019,43.6,Canopy,12-17,Alive,57,Intermediate,11.5,"109,281.65",5.14,0.39,0.19,"2,300.00",19.32,"1,150.00","3,469.32",1.3,0.65,35.9,0,1
2430A,ELATTA,5,1,96.1,2.3,2019,11.3,Understory,1-5,Alive,7,Young,3.5,409.16,0.02,0.1,0.05,700.00,5.01,350.00,"1,055.01",-0.1,-0.05,16.5,9,0
2430B,PARKSP,5,1,99.2,3.5,2019,12.7,Understory,1-5,Alive,4,Young,1.5,250.00,0.01,0.11,0.06,300.00,5.63,150.00,455.63,0.4,0.2,17.9,18,0
2431,RYPAAC,5,1,93.7,4.3,2019,32.1,Canopy,12-17,Alive,56,Intermediate,2.0,"6,620.64",0.31,0.28,0.14,400.00,14.22,200.00,614.22,-0.3,-0.15,31.3,0,1
2431,RYPAAC,5,1,93.7,4.3,2019,32.1,Canopy,12-17,Alive,56,Intermediate,2.0,"6,620.64",0.31,0.28,0.14,400.00,14.22,200.00,614.22,-0.3,-0.15,31.3,0,1
2432,POL1JE,5,1,93.2,2.3,2019,19.5,Understory,6-11,Alive,56,Intermediate,3.0,"1,917.09",0.09,0.17,0.09,600.00,8.64,300.00,908.64,0.9,0.45,23.8,0,0
2432B,DIOSSU,5,1,92.5,1.2,2019,10.1,Understory,1-5,Alive,7,Young,1.0,83.52,0.0,0.09,0.04,200.00,4.48,100.00,304.48,0.0,0.0,15.2,8,0
2432C,DIOSBU,5,1,91.2,0.5,2019,12.7,Understory,1-5,Alive,7,Young,5.0,833.34,0.04,0.11,0.06,"1,000.00",5.63,500.00,"1,505.63",-0.1,-0.05,17.9,0,0
2441A,XANTRU,6,1,80.8,28.2,2019,14.5,Understory,6-11,Alive,7,Young,4.0,"1,002.94",0.05,0.13,0.06,800.00,6.42,400.00,"1,206.42",0.0,0.0,19.7,6,1
2441B,MACAHY,6,1,81.8,30.5,2019,12.4,Understory,1-5,Alive,7,Young,1.0,154.94,0.01,0.11,0.05,200.00,5.49,100.00,305.49,1.2,0.6,17.6,10,0
2441C,CROTLA,6,1,81.6,28.0,2019,12.5,Understory,1-5,Alive,4,Young,11.0,"1,746.59",0.08,0.11,0.06,"2,200.00",5.54,"1,100.00","3,305.54",0.7,0.35,17.7,5,1
2441C,CROTLA,6,1,81.6,28.0,2019,12.5,Understory,1-5,Alive,4,Young,11.0,"1,746.59",0.08,0.11,0.06,"2,200.00",5.54,"1,100.00","3,305.54",0.7,0.35,17.7,5,1
2443A,MACACO,6,1,81.2,22.2,2019,10.8,Understory,1-5,Alive,4,Young,1.5,153.04,0.01,0.1,0.05,300.00,4.79,150.00,454.79,-0.2,-0.1,16.0,0,0
2445A,MACAHY,6,1,89.3,31.0,2019,16.8,Understory,6-11,Alive,7,Young,1.0,397.58,0.02,0.15,0.07,200.00,7.44,100.00,307.44,1.3,0.65,21.7,10,1
